Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
ERR3684641	131	110	63	32	8	3	1128133	1117062	997165	781245	411414	244886	122	142772	1125915	1139457	52.73	52.70	17381	16805	8175	8155	16	17	40	41	1	1	16805	8	0	0	0	2 + 11 part	19684	99.140	1.003	0.00	8.97	10.70	137406	1105546	16525	16525	7694	7398	17	17	41	42
ERR3684642	216	174	69	31	6	1	1132547	1110368	829140	568796	200655	55613	196	55613	1126779	1139457	52.74	52.70	10038	9944	4710	4612	31	32	73	75	0	0	0	8	0	0	1	3 + 11 part	24854	98.753	1.003	0.00	11.74	10.37	51807	1101204	9933	9933	4257	4189	32	32	76	78
ERR3684643	83	61	47	35	17	3	1130761	1121313	1089530	1003657	718325	232777	69	115400	1128076	1139457	52.74	52.70	30917	30917	17130	16766	12	12	24	25	0	0	0	8	0	0	0	3 + 11 part	20757	99.296	1.002	0.00	5.70	10.05	115315	1106242	30917	30768	15993	15993	12	13	25	25
ERR3684644	217	173	76	35	2	0	1124677	1098535	836201	525503	70057	0	203	43959	1120956	1139457	52.73	52.70	9605	9483	4972	4642	39	40	77	80	4	4	37927	5	0	0	1	2 + 14 part	20210	98.482	1.004	0.00	9.13	11.32	43959	1100011	9286	9055	4545	4459	40	41	81	84
ERR3684645	807	347	4	0	0	0	939998	654135	25364	0	0	0	660	8500	877610	1139457	53.79	52.70	1643	1225	992	545	178	271	352	616	1	1	1067	2	0	0	2	2 + 16 part	17202	76.790	1.007	0.00	18.02	11.59	8496	858027	1554	1170	953	501	183	280	364	648
ERR3684646	627	368	24	2	0	0	1076211	902375	165235	23083	0	0	563	12575	1049456	1139457	52.62	52.70	2478	2257	1371	1196	128	147	272	325	3	3	11060	2	0	0	1	4 + 10 part	15984	92.209	1.007	0.00	14.81	10.62	12575	1030786	2455	2214	1329	1083	129	149	279	334
ERR3684647	64	18	17	12	9	7	1133111	1121942	1120936	1084744	1031888	943290	24	186246	1127038	1139457	52.74	52.70	126538	126538	90063	90063	4	4	6	6	2	2	99319	11	0	0	0	2 + 10 part	20048	99.351	1.001	0.00	10.13	10.49	186213	1106104	125833	125833	49655	49655	4	4	7	7
ERR3684648	508	17	0	0	0	0	279151	21189	0	0	0	0	240	2286	162995	1139457	53.13	52.70	659	-	561	-	96	-	163	-	2	2	1433	0	0	0	1	2 + 2 part	3161	14.277	1.006	0.00	33.36	12.59	1790	159007	643	-	550	-	99	-	168	-
ERR3684649	779	69	0	0	0	0	493699	86914	0	0	0	0	480	2252	364114	1139457	52.71	52.70	756	-	607	-	180	-	315	-	0	0	0	1	0	0	1	3 + 2 part	4059	32.240	1.004	0.00	33.17	11.99	2002	359146	746	-	601	-	183	-	319	-
ERR3684650	923	378	2	0	0	0	993235	639244	12135	0	0	0	786	6288	933565	1139457	52.74	52.70	1321	1113	903	627	229	313	443	646	1	1	6288	0	0	0	3	6 + 11 part	16169	81.902	1.007	0.00	23.37	11.19	5847	914940	1312	1091	880	595	233	319	453	665
ERR3684651	138	0	0	0	0	0	65570	0	0	0	0	0	43	715	25369	1139457	52.70	52.70	586	-	545	-	20	-	31	-	1	1	504	0	0	0	0	0 + 0 part	0	2.244	1.016	0.00	44.06	12.02	697	24965	578	-	539	-	20	-	32	-
ERR3684652	102	79	58	39	11	4	1128448	1116028	1059057	923362	490927	257824	90	77886	1125554	1139457	52.75	52.70	22966	22966	11782	11670	15	15	32	33	2	2	17272	6	0	0	0	2 + 13 part	20078	99.148	1.002	0.00	6.07	10.24	77886	1104749	22966	22966	11546	11260	15	15	33	34
ERR3684653	237	195	75	27	3	0	1123720	1101565	781038	445592	84653	0	214	29224	1116632	1139457	52.75	52.70	8344	8126	4495	4363	40	41	87	91	2	1	8126	5	0	0	1	2 + 13 part	19148	98.357	1.003	0.00	8.22	10.14	29224	1096583	7738	7723	4179	3975	41	42	91	95
ERR3684654	103	76	58	36	12	3	1129510	1118950	1071106	916475	504618	244149	85	113293	1126138	1139457	52.74	52.70	22794	22794	14021	13607	15	15	30	31	0	0	0	12	0	0	0	3 + 12 part	20224	99.168	1.002	0.00	5.17	11.15	109487	1105308	21550	21478	13607	13075	15	16	31	32
ERR3684655	442	294	47	12	0	0	1102723	1011454	431535	185726	0	0	398	21740	1087479	1139457	52.72	52.70	4097	3978	2111	1873	72	79	163	183	0	0	0	4	0	0	2	2 + 16 part	19469	95.588	1.004	0.00	13.63	9.78	21740	1067400	4011	3915	2087	1829	74	80	168	188
ERR3684656	384	275	59	22	3	0	1117534	1048358	557877	319430	85791	0	351	30540	1105976	1139457	52.72	52.70	5047	4764	2484	2216	59	62	137	148	1	1	1682	5	0	0	0	8 + 11 part	22003	96.863	1.006	0.00	13.27	10.76	30540	1081163	4863	4752	2354	2161	60	63	141	152
ERR3684657	308	236	66	24	0	0	1115979	1071105	642998	352304	0	0	286	23528	1108274	1139457	52.70	52.70	6376	6279	3145	2974	51	54	115	122	3	3	11662	8	0	0	0	5 + 11 part	18560	97.522	1.004	0.00	12.81	10.60	23528	1088541	6258	6100	3047	2776	52	55	118	126
ERR3684658	269	219	82	18	0	0	1118603	1088796	712973	277953	0	0	253	23917	1113623	1139457	52.70	52.70	6339	6192	3960	3661	55	57	110	115	1	1	8903	5	0	0	2	3 + 13 part	20211	97.906	1.004	0.00	11.38	10.56	22789	1092401	6192	5820	3861	3520	56	58	112	118
ERR3684659	216	157	73	34	5	1	1125691	1094894	882115	602527	165291	50382	190	50382	1118410	1139457	52.74	52.70	10788	10692	5827	5315	30	31	65	68	2	1	2057	7	0	0	0	3 + 12 part	19807	98.362	1.004	0.00	8.86	10.32	50382	1097391	10692	10157	5245	5123	31	32	67	70
ERR3684660	257	215	75	21	4	0	1120301	1096283	751963	377903	137161	0	243	48110	1116527	1139457	52.75	52.70	7109	6795	3953	3770	43	45	95	99	0	0	0	5	0	0	0	4 + 14 part	19609	98.144	1.004	0.00	9.43	10.71	44304	1095132	6795	6669	3770	3579	44	46	97	102
ERR3684661	151	125	76	38	6	0	1128255	1116364	974085	701163	189679	0	139	39031	1126217	1139457	52.74	52.70	13543	13543	7446	7428	27	27	55	56	1	1	1067	9	0	0	0	2 + 13 part	19956	99.102	1.003	0.00	8.52	10.61	39031	1105558	13543	13434	7428	6853	27	28	56	57
ERR3684662	580	21	0	0	0	0	323841	27421	0	0	0	0	277	3659	192190	1139457	52.38	52.70	669	-	573	-	110	-	187	-	3	3	2955	0	0	0	1	3 + 1 part	4194	16.768	1.008	0.00	48.77	13.40	1716	186744	657	-	560	-	115	-	194	-
ERR3684663	488	17	0	0	0	0	274193	22338	0	0	0	0	263	2694	177818	1139457	53.38	52.70	637	-	553	-	103	-	179	-	1	1	960	0	0	0	0	5 + 2 part	4994	15.487	1.003	0.00	45.84	15.09	2215	172421	631	-	543	-	106	-	183	-
ERR3684664	974	203	0	0	0	0	751830	288886	0	0	0	0	693	3639	631037	1139457	52.53	52.70	947	575	699	-	231	579	427	-	3	2	3566	1	0	0	0	6 + 8 part	11876	55.391	1.005	0.00	44.62	10.71	3639	617636	927	557	672	-	236	595	437	-
ERR3684665	332	239	72	17	1	0	1112683	1053258	622036	240304	26925	0	304	26925	1102446	1139457	52.83	52.70	5799	5515	3256	3030	59	63	124	133	2	2	19123	7	0	0	0	3 + 12 part	17967	96.976	1.005	0.00	19.18	11.03	26877	1082476	5515	5308	3129	2895	62	65	129	138
ERR3684666	73	46	34	32	17	7	1124759	1110280	1087183	1069588	819802	469411	61	105631	1121666	1139457	52.82	52.70	38462	38462	24248	23733	10	10	18	19	1	1	55491	11	0	0	0	2 + 12 part	20581	98.803	1.002	0.00	5.64	10.01	105631	1100430	37476	37476	23668	19508	10	10	19	20
ERR3684667	449	323	61	6	0	0	1104673	1023697	438036	72770	0	0	416	15270	1092752	1139457	52.76	52.70	3719	3566	2053	1873	86	92	186	204	1	1	1067	0	0	0	1	5 + 10 part	18106	96.083	1.005	0.00	13.00	10.66	15270	1073039	3709	3504	1945	1790	86	92	190	209
ERR3684668	825	59	0	0	0	0	518566	77145	0	0	0	0	518	2412	386246	1139457	52.60	52.70	733	-	602	-	197	-	343	-	3	2	1877	1	0	0	0	5 + 5 part	9184	33.704	1.005	0.00	50.13	9.87	2412	375703	717	-	591	-	204	-	352	-
ERR3684669	167	138	73	41	7	0	1127847	1111548	930454	695151	203871	0	155	34082	1125452	1139457	52.74	52.70	12265	12265	7042	6849	30	30	59	61	0	0	0	10	0	0	0	4 + 12 part	20250	99.000	1.003	0.00	7.35	10.17	34082	1104223	12264	12100	6849	6277	30	31	61	63
ERR3684670	999	284	3	0	0	0	904789	469903	18861	0	0	0	756	8285	799930	1139457	52.67	52.70	1163	819	765	-	219	395	434	-	3	3	10928	1	0	0	1	11 + 11 part	19866	69.688	1.006	0.00	24.63	9.29	7509	778233	1124	785	734	-	225	406	446	-
ERR3684671	400	303	57	10	0	0	1112298	1051318	435939	126751	0	0	377	15004	1104843	1139457	52.69	52.70	4006	3931	2544	2380	83	87	168	178	0	0	0	3	0	0	1	5 + 12 part	17270	97.162	1.006	0.00	14.89	11.19	15004	1085016	3970	3891	2418	2245	83	88	171	182
ERR3684672	793	397	8	1	0	0	1023097	770952	56245	10019	0	0	685	10019	977826	1139457	52.70	52.70	1720	1433	1058	785	177	227	361	491	2	1	2959	1	0	0	1	5 + 11 part	15718	85.995	1.005	0.00	21.95	10.66	10019	960685	1695	1397	1028	758	180	233	371	508
ERR3684673	374	275	59	14	2	0	1106362	1044884	533432	221549	66377	0	344	35375	1095178	1139457	52.76	52.70	4820	4604	2441	2251	62	67	139	153	3	3	8773	5	0	0	0	4 + 12 part	18381	96.320	1.005	0.00	10.82	10.36	35375	1075702	4604	4454	2340	2098	64	69	144	159
ERR3684674	959	261	2	0	0	0	828474	393439	10205	0	0	0	746	5188	735524	1139457	53.44	52.70	1063	713	737	-	237	472	447	-	4	4	8910	1	0	0	1	6 + 6 part	11490	64.640	1.007	0.00	27.81	11.68	5188	721657	1026	694	718	-	242	483	458	-
ERR3684675	879	366	5	0	0	0	984242	661933	31476	0	0	0	736	7405	922597	1139457	52.75	52.70	1395	1155	933	615	196	281	398	614	2	1	1465	1	0	0	1	6 + 6 part	11378	81.220	1.008	0.00	20.03	10.51	7405	907676	1377	1135	901	590	198	285	404	629
ERR3684676	622	377	28	1	0	0	1075433	914143	177455	11463	0	0	570	11463	1054504	1139457	52.81	52.70	2470	2285	1373	1195	130	148	273	323	1	1	1067	1	0	0	1	5 + 14 part	16468	92.798	1.005	0.00	17.72	10.75	11463	1036882	2470	2285	1359	1142	130	148	274	325
ERR3684677	970	255	0	0	0	0	814493	367434	0	0	0	0	761	4223	723607	1139457	52.60	52.70	1006	699	727	-	250	501	463	-	1	1	850	1	0	0	1	9 + 4 part	11980	63.629	1.005	0.00	30.37	10.17	3465	710064	992	674	712	-	254	510	472	-
ERR3684678	837	395	4	0	0	0	1010683	728502	26748	0	0	0	724	7562	963373	1139457	52.64	52.70	1568	1364	1008	717	199	260	390	544	3	3	9899	1	0	0	3	2 + 13 part	16364	84.548	1.007	0.00	19.88	10.31	6810	945164	1514	1343	965	683	202	264	398	561
ERR3684679	969	211	1	0	0	0	779414	316592	5367	0	0	0	731	5367	676635	1139457	53.41	52.70	960	615	685	-	234	539	444	-	3	3	3005	1	0	0	0	7 + 8 part	12732	59.327	1.006	0.00	34.84	10.76	5367	662100	939	596	668	-	239	554	455	-
ERR3684680	738	380	16	0	0	0	1046298	821276	95819	0	0	0	635	8700	1002610	1139457	52.87	52.70	1993	1735	1193	924	157	194	317	415	3	2	3227	1	0	0	4	6 + 9 part	15838	88.006	1.008	0.00	17.05	9.70	8700	983318	1953	1682	1154	861	159	197	325	428
ERR3684681	562	348	39	3	0	0	1090244	956285	263938	39508	0	0	497	17079	1064905	1139457	52.64	52.70	3052	2873	1692	1432	110	122	228	264	1	1	1741	4	0	0	2	6 + 12 part	16877	93.746	1.005	0.00	14.48	10.16	17079	1046887	3021	2856	1645	1407	111	124	232	268
ERR3684682	828	398	5	0	0	0	1021132	742347	27336	0	0	0	720	6469	975068	1139457	52.77	52.70	1592	1377	1013	759	195	250	388	527	3	3	5214	1	0	0	1	4 + 12 part	16582	85.599	1.006	0.00	17.85	9.55	6468	956498	1565	1325	986	720	198	255	398	544
ERR3684683	922	327	5	0	0	0	943240	568435	30101	0	0	0	745	8344	865535	1139457	52.65	52.70	1293	991	831	516	208	329	416	724	1	1	1067	1	0	0	0	6 + 9 part	15241	75.883	1.007	0.00	24.75	10.30	8344	846990	1264	970	808	-	213	337	427	-
ERR3684684	380	281	64	10	0	0	1113121	1053225	503995	115446	0	0	348	13413	1102632	1139457	52.68	52.70	4442	4340	2763	2664	75	79	152	162	2	2	2007	4	0	0	0	4 + 10 part	16735	97.040	1.006	0.00	11.30	10.28	13413	1083617	4371	4278	2715	2571	77	81	156	166
ERR3684685	774	401	9	0	0	0	1042049	801505	54327	0	0	0	668	7859	998975	1139457	52.56	52.70	1774	1569	1125	881	175	216	352	457	2	2	10549	3	0	0	0	6 + 12 part	16302	87.919	1.004	0.00	16.05	10.02	7133	982128	1745	1526	1099	846	178	221	360	469
ERR3684686	240	179	80	30	2	0	1124657	1089460	818827	462028	71744	0	219	46274	1119394	1139457	52.72	52.70	8255	8004	4443	4298	41	42	85	88	1	1	1067	8	0	0	1	4 + 12 part	20647	98.362	1.004	0.00	8.95	10.51	42468	1097561	8004	7817	4298	4147	42	44	88	92
ERR3684687	372	260	69	12	0	0	1112217	1042451	568054	171645	0	0	338	24100	1099832	1139457	52.73	52.70	5118	4995	2753	2501	66	70	138	149	3	3	27510	6	0	0	1	4 + 11 part	18761	96.685	1.005	0.00	18.68	11.25	22732	1079274	4975	4895	2604	2372	68	72	143	155
ERR3684688	342	3	0	0	0	0	173605	3336	0	0	0	0	129	1149	82416	1139457	52.17	52.70	606	-	546	-	55	-	90	-	1	1	802	0	0	0	0	2 + 0 part	1308	7.279	1.001	0.00	44.45	14.82	1149	81082	605	-	544	-	55	-	91	-
ERR3684689	722	51	0	0	0	0	438757	68496	0	0	0	0	413	2881	304290	1139457	53.97	52.70	710	-	581	-	154	-	273	-	2	2	3466	0	0	0	0	4 + 4 part	6711	26.638	1.004	0.00	35.09	12.48	2881	296788	701	-	576	-	159	-	281	-
ERR3684690	381	10	0	0	0	0	208813	12886	0	0	0	0	183	1582	125049	1139457	54.18	52.70	669	-	568	-	74	-	124	-	1	1	744	0	0	0	1	1 + 1 part	1487	10.961	1.013	0.00	68.05	16.40	1582	122129	658	-	561	-	76	-	127	-
ERR3684691	358	6	0	0	0	0	184580	7934	0	0	0	0	136	2071	88177	1139457	53.18	52.70	625	-	544	-	57	-	94	-	0	0	0	0	0	0	1	2 + 1 part	2520	7.603	1.013	0.00	72.11	9.46	1288	84682	622	-	537	-	59	-	97	-
ERR3684692	549	18	0	0	0	0	311448	24228	0	0	0	0	295	2878	202501	1139457	52.94	52.70	661	-	567	-	117	-	200	-	1	1	774	0	0	0	0	2 + 5 part	4684	17.755	1.001	0.00	37.46	12.65	2003	197730	648	-	563	-	120	-	205	-
ERR3684693	363	9	0	0	0	0	194281	10494	0	0	0	0	166	1726	109628	1139457	53.05	52.70	644	-	555	-	68	-	114	-	1	1	573	0	0	0	0	2 + 1 part	1938	9.649	1.003	0.00	47.50	8.38	1610	107381	641	-	548	-	69	-	115	-
ERR3684694	228	169	77	31	3	1	1125879	1091005	830757	495968	110463	54078	208	54078	1121055	1139457	52.74	52.70	8969	8958	4887	4628	38	39	80	82	0	0	0	9	0	0	0	3 + 12 part	21082	98.548	1.003	0.00	7.66	10.40	50272	1099192	8821	8619	4628	4523	39	40	82	85
ERR3684695	109	79	60	41	13	2	1133829	1118835	1072141	931335	486980	136392	94	83592	1130408	1139457	52.76	52.70	21796	21796	12481	12481	17	17	34	34	0	0	0	9	0	0	1	1 + 15 part	20330	99.585	1.002	0.00	7.04	10.47	83592	1109589	21480	21480	11816	11742	17	17	35	36
ERR3684696	273	204	76	15	5	1	1121188	1079911	755786	335468	182240	53602	251	53602	1114960	1139457	52.73	52.70	6983	6917	3936	3806	43	45	95	99	0	0	0	4	0	0	1	2 + 15 part	19893	98.039	1.004	0.00	9.07	10.45	53602	1093852	6926	6850	3786	3451	44	46	97	102
ERR3684697	490	337	41	4	0	0	1098355	1003415	299738	48024	0	0	445	13016	1080775	1139457	52.69	52.70	3340	3152	2004	1733	102	111	204	228	1	1	11170	3	0	0	2	5 + 13 part	19241	94.965	1.005	0.00	11.36	10.60	13016	1060866	3329	3101	1886	1669	104	113	210	235
ERR3684698	483	337	46	7	0	0	1103502	1003867	337475	83760	0	0	451	16080	1090632	1139457	52.67	52.70	3398	3199	1901	1720	98	105	207	227	0	0	0	3	0	0	3	7 + 10 part	18030	95.828	1.006	0.00	12.57	9.75	16080	1070762	3370	3130	1846	1632	99	107	211	232
ERR3684699	977	228	0	0	0	0	792521	334079	0	0	0	0	726	3349	684029	1139457	52.74	52.70	983	641	716	-	237	525	441	-	3	3	2887	0	0	0	1	7 + 7 part	11702	59.940	1.008	0.00	36.58	11.54	3349	669106	961	621	693	-	241	538	451	-
ERR3684700	74	47	37	25	13	8	1130447	1119636	1093911	1003506	804269	617019	56	127117	1126698	1139457	52.74	52.70	58937	50808	21023	20899	7	8	15	16	1	1	58937	11	0	0	0	3 + 12 part	20472	99.250	1.002	0.00	5.89	10.59	123311	1105486	45525	45525	19455	19455	8	8	17	17
ERR3684701	836	72	0	0	0	0	516824	91347	0	0	0	0	483	2802	363754	1139457	52.88	52.70	755	-	591	-	178	-	316	-	2	2	3191	1	0	0	1	3 + 6 part	6722	31.922	1.005	0.00	51.24	12.11	2802	356282	740	-	583	-	183	-	323	-
ERR3684702	281	217	87	22	0	0	1124102	1085621	766839	305512	0	0	261	22296	1119183	1139457	52.72	52.70	7127	6992	3733	3683	53	55	104	108	0	0	0	5	0	0	0	6 + 11 part	19542	98.444	1.004	0.00	11.41	9.68	22296	1098291	6992	6953	3641	3522	55	56	108	112
ERR3684703	473	333	50	4	0	0	1109769	1023530	380516	57305	0	0	426	23871	1092922	1139457	52.69	52.70	3571	3434	1974	1826	89	96	191	210	2	2	2906	7	0	0	0	4 + 10 part	17895	96.169	1.005	0.00	14.76	10.84	20590	1073751	3555	3338	1877	1737	91	98	198	217
ERR3684704	846	387	6	0	0	0	993381	694580	40476	0	0	0	743	8069	949366	1139457	52.77	52.70	1513	1248	957	683	206	276	405	581	4	4	11617	0	0	0	1	6 + 9 part	13814	83.482	1.007	0.00	26.91	10.23	8069	933050	1470	1214	932	637	209	281	413	596
ERR3684705	990	207	0	0	0	0	769762	296825	0	0	0	0	714	3757	649028	1139457	52.30	52.70	955	580	684	-	236	568	437	-	4	4	5323	0	0	0	1	5 + 6 part	10506	57.086	1.005	0.00	21.10	11.02	3757	637196	922	563	669	-	241	582	447	-
ERR3684706	111	84	54	33	13	2	1129420	1115616	1028990	869278	556945	204037	98	119606	1126202	1139457	52.73	52.70	23952	23952	11663	11268	14	14	31	32	1	1	30784	10	0	0	0	3 + 13 part	21123	99.106	1.002	0.00	5.26	10.25	116192	1104410	23952	23952	10367	9781	14	14	33	34
ERR3684707	720	368	17	0	0	0	1051189	822102	104546	0	0	0	640	8779	1018258	1139457	52.66	52.70	2012	1804	1206	899	156	188	315	403	2	2	6939	1	0	0	5	2 + 13 part	17178	89.453	1.006	0.00	19.69	9.85	8779	999781	1954	1751	1153	856	159	192	325	418
ERR3684708	499	336	50	6	0	0	1095640	990751	346318	65828	0	0	461	12432	1081384	1139457	52.69	52.70	3183	3034	1855	1672	100	109	208	233	1	1	835	3	0	0	1	6 + 10 part	17279	95.166	1.005	0.00	15.11	10.29	12432	1062491	3130	3016	1799	1612	101	111	213	238
ERR3684709	970	169	0	0	0	0	717478	237334	0	0	0	0	681	4435	593909	1139457	52.45	52.70	898	528	667	-	232	635	425	-	2	1	1778	1	0	0	1	2 + 6 part	7957	52.388	1.005	0.00	32.59	10.29	2965	584555	882	516	655	-	239	649	436	-
ERR3684710	992	286	1	0	0	0	893234	449888	5424	0	0	0	778	5424	800521	1139457	52.64	52.70	1097	827	775	-	239	418	457	-	1	1	1501	0	0	0	1	7 + 6 part	13956	70.419	1.004	0.00	28.20	10.59	5424	785541	1079	798	745	-	245	428	468	-
ERR3684711	1029	203	1	0	0	0	777767	293991	5166	0	0	0	725	5166	650387	1139457	52.32	52.70	926	581	671	-	236	575	444	-	2	2	1544	0	0	0	0	5 + 6 part	9662	57.220	1.006	0.00	26.86	10.99	5166	638662	919	563	656	-	240	586	451	-
ERR3684712	764	370	11	0	0	0	1037244	785576	68917	0	0	0	655	8016	991607	1139457	52.76	52.70	1973	1678	1106	834	163	203	331	446	1	1	1067	2	0	0	0	7 + 9 part	14796	87.170	1.007	0.00	21.86	10.52	8016	974358	1941	1611	1075	798	165	206	338	458
ERR3684713	516	340	42	5	1	0	1114520	1003966	338744	92089	36650	0	468	36650	1097870	1139457	52.65	52.70	3306	3165	1821	1620	96	102	207	225	1	1	8155	4	0	0	1	12 + 14 part	29446	95.280	1.008	0.00	27.35	12.54	32844	1064709	3185	3111	1720	1542	99	105	212	232
ERR3684714	850	380	4	0	0	0	1010807	710317	21939	0	0	0	727	5935	959771	1139457	52.70	52.70	1625	1366	983	704	199	260	390	553	1	1	2912	1	0	0	3	5 + 11 part	16560	84.302	1.006	0.00	23.56	10.66	5935	941961	1569	1301	937	674	203	266	401	570
ERR3684715	894	84	0	0	0	0	568725	103638	0	0	0	0	563	2654	424270	1139457	53.22	52.70	741	-	609	-	213	-	372	-	3	2	2590	1	0	0	0	3 + 6 part	7014	37.289	1.006	0.00	40.73	10.85	2482	415865	724	-	599	-	219	-	380	-
ERR3684716	983	162	0	0	0	0	723202	228826	0	0	0	0	696	3512	598541	1139457	53.01	52.70	859	532	666	-	239	641	437	-	2	2	3583	1	0	0	1	4 + 2 part	6188	52.820	1.008	0.00	28.75	10.38	3437	589430	849	520	651	-	244	653	445	-
ERR3684717	999	255	0	0	0	0	852996	389514	0	0	0	0	764	4354	751838	1139457	52.45	52.70	1029	732	740	-	242	466	458	-	2	1	2762	1	0	0	2	8 + 7 part	13418	66.032	1.005	0.00	24.63	8.98	4354	737265	1006	718	726	-	247	476	468	-
ERR3684718	888	388	4	0	0	0	1012068	692548	20745	0	0	0	756	5408	957522	1139457	52.64	52.70	1484	1291	939	699	212	278	415	583	2	1	961	2	0	0	2	6 + 8 part	15321	84.114	1.007	0.00	29.92	11.22	5408	940648	1457	1239	900	662	217	285	426	601
ERR3684719	1011	198	0	0	0	0	760706	271766	0	0	0	0	715	3942	633738	1139457	53.22	52.70	917	573	691	-	246	596	445	-	1	1	2520	1	0	0	0	6 + 8 part	12873	55.477	1.006	0.00	35.31	11.18	2699	618811	900	554	665	-	253	614	458	-
ERR3684720	957	248	0	0	0	0	808113	366918	0	0	0	0	729	4614	708940	1139457	52.62	52.70	1026	702	750	-	236	493	441	-	1	1	761	0	0	0	1	4 + 9 part	10111	62.506	1.005	0.00	26.60	9.06	4614	697384	1014	682	738	-	238	499	446	-
ERR3684721	954	310	1	0	0	0	909871	501574	6919	0	0	0	775	6919	832867	1139457	52.94	52.70	1173	878	798	-	232	384	450	-	2	2	4052	0	0	0	1	7 + 7 part	10988	73.421	1.006	0.00	27.54	11.38	6919	820344	1150	859	784	-	235	390	458	-
ERR3684722	780	409	10	1	0	0	1040582	800473	60479	10100	0	0	687	10100	1004201	1139457	52.68	52.70	1728	1545	1086	882	180	222	364	466	2	2	3731	2	0	0	1	6 + 11 part	15631	88.264	1.007	0.00	23.42	10.89	10100	986275	1673	1515	1063	844	183	225	370	476
ERR3684723	552	360	36	1	0	0	1088247	965140	253816	10293	0	0	502	10293	1067913	1139457	52.69	52.70	2879	2654	1684	1484	113	126	238	272	4	3	14985	4	0	0	0	5 + 14 part	17781	93.841	1.006	0.00	19.63	10.82	10292	1048559	2825	2584	1634	1425	115	128	243	278
ERR3684724	504	351	39	1	0	0	1098737	999470	270217	10013	0	0	464	10013	1082263	1139457	52.67	52.70	3409	3219	1803	1627	105	114	215	240	1	1	1065	2	0	0	1	4 + 11 part	15730	95.241	1.006	0.00	16.70	11.04	10013	1063980	3293	3172	1781	1581	107	116	219	245
ERR3684725	27	7	7	7	6	6	1134852	1126072	1126072	1126072	1109340	1109340	14	415165	1132031	1139457	52.75	52.70	208756	208756	175155	175155	2	2	4	4	0	0	0	11	0	0	0	1 + 8 part	19754	99.843	1.001	0.00	4.68	11.16	409897	1111619	204735	204735	175020	175020	2	2	4	4
ERR3684726	998	288	1	0	0	0	871366	433549	5197	0	0	0	776	5197	777811	1139457	53.20	52.70	1083	763	744	-	246	446	464	-	0	0	0	3	0	0	0	5 + 7 part	12422	68.310	1.007	0.00	23.15	10.26	5197	762991	1066	742	728	-	251	457	475	-
ERR3684727	617	368	26	0	0	0	1077940	920792	159168	0	0	0	546	9367	1048117	1139457	52.67	52.70	2592	2438	1575	1276	132	150	262	310	2	2	1660	0	0	0	4	3 + 12 part	17898	92.064	1.006	0.00	17.28	9.66	9367	1028742	2574	2324	1471	1212	133	151	268	320
ERR3684728	621	376	35	0	0	0	1072439	917571	237428	0	0	0	541	9963	1039849	1139457	52.65	52.70	2420	2219	1417	1175	122	143	261	319	2	2	6959	4	0	0	1	4 + 9 part	14773	91.544	1.006	0.00	16.39	10.41	9963	1023294	2375	2177	1365	1140	125	147	267	327
ERR3684729	763	64	0	0	0	0	463449	81026	0	0	0	0	426	2379	317660	1139457	52.84	52.70	717	-	592	-	159	-	281	-	1	1	2379	1	0	0	0	5 + 3 part	7307	27.613	1.010	0.00	25.39	12.37	2076	307626	698	-	581	-	165	-	290	-
ERR3684730	743	46	0	0	0	0	449701	65740	0	0	0	0	417	3389	308301	1139457	52.60	52.70	696	-	586	-	155	-	274	-	0	0	0	1	0	0	2	3 + 4 part	6377	27.049	1.003	0.00	27.91	7.64	2133	301400	688	-	576	-	161	-	282	-
ERR3684731	551	18	0	0	0	0	306404	23309	0	0	0	0	289	2068	193977	1139457	52.60	52.70	641	-	566	-	117	-	198	-	2	2	2718	0	0	0	0	2 + 2 part	3720	17.054	1.003	0.00	57.44	5.80	1883	190145	632	-	561	-	122	-	203	-
ERR3684732	646	26	0	0	0	0	370999	33248	0	0	0	0	354	2774	243855	1139457	53.01	52.70	676	-	558	-	139	-	239	-	0	0	0	0	0	0	0	2 + 2 part	3143	21.441	1.009	0.00	37.30	9.64	2118	238672	665	-	553	-	143	-	244	-
ERR3684733	884	88	0	0	0	0	573772	117197	0	0	0	0	544	3806	425287	1139457	52.72	52.70	787	-	615	-	197	-	351	-	2	2	1510	0	0	0	0	5 + 5 part	8013	37.370	1.003	0.00	37.04	9.38	3806	416319	772	-	601	-	203	-	360	-
