Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
ERR3684632	912	361	29	1	0	0	1119693	880505	197864	11956	0	0	532	11956	1005794	1139457	52.90	52.78	2494	2145	925	-	3193.9	2819.3	122	150	387	-	0	0	0	0	0	0	0	66 + 5 part	76152	81.330	1.001	0.00	19.51	13.69	11956	927501	2451	2135	613	-	3091.4	2728.7	122	151	420	-
ERR3684633	968	288	4	0	0	0	855390	525293	28350	0	0	0	571	8825	731953	1139457	52.73	52.78	1449	906	692	-	1894.0	1216.7	156	335	448	-	3	3	7142	0	0	0	0	15 + 0 part	13562	63.076	1.000	0.00	20.88	11.69	8824	718388	1448	884	657	-	1868.8	1200.5	157	339	455	-
ERR3684634	573	311	37	5	0	0	1007620	872672	274335	57254	0	0	440	13051	966259	1139457	52.86	52.78	3058	2616	1013	-	3972.0	3368.3	92	122	308	-	1	1	8626	0	0	0	0	11 + 1 part	10795	83.773	1.000	0.00	15.09	12.68	13051	954544	3058	2586	988	-	3940.4	3341.5	92	123	312	-
ERR3684635	735	332	32	2	0	0	1065353	882042	223693	23600	0	0	473	12858	984030	1139457	52.86	52.78	2856	2501	985	-	3572.5	3085.2	104	134	336	-	0	0	0	0	0	0	0	33 + 4 part	37105	83.041	1.001	0.00	34.02	11.73	12854	946364	2834	2501	823	-	3526.4	3045.4	105	134	346	-
ERR3684636	966	34	0	0	0	0	375814	43846	0	0	0	0	211	2296	161608	1139457	52.92	52.78	750	-	535	-	871.5	123.6	78	-	180	-	0	0	0	1	0	0	1	10 + 1 part	9584	13.300	1.000	0.00	48.84	11.22	2082	151500	724	-	511	-	803.9	114.0	81	-	189	-
ERR3684637	952	247	0	0	0	0	760958	412992	0	0	0	0	548	4938	628232	1139457	52.48	52.78	1311	626	635	-	1534.7	846.2	161	444	437	-	0	0	0	0	0	0	0	3 + 0 part	2309	54.893	1.000	0.00	19.83	12.79	4938	625287	1311	619	631	-	1530.9	844.1	161	445	438	-
ERR3684638	884	305	7	0	0	0	868581	581489	41150	0	0	0	555	7097	765312	1139457	52.84	52.78	1563	1035	728	-	2053.3	1379.1	147	294	430	-	0	0	0	0	0	0	0	14 + 0 part	12402	66.016	1.000	0.00	14.36	10.77	7097	752066	1561	1011	702	-	2035.1	1366.9	148	295	435	-
ERR3684639	388	264	60	12	0	0	1037297	968978	485625	143593	0	0	333	16244	1019229	1139457	52.53	52.78	4792	4247	1367	-	5613.9	5021.5	65	79	220	-	0	0	0	1	0	0	0	0 + 0 part	0	89.393	1.001	0.00	31.02	10.99	16244	1018715	4792	4247	1363	-	5611.1	5019.1	65	79	221	-
ERR3684640	713	10	0	0	0	0	246082	14136	0	0	0	0	120	2595	83748	1139457	52.73	52.78	653	-	523	-	811.3	59.6	46	-	104	-	1	1	821	0	0	0	0	9 + 0 part	6593	6.767	1.000	0.00	37.63	16.87	2595	77074	624	-	503	-	740.1	54.4	48	-	109	-
ERR3684641	113	91	58	35	8	2	1109737	1100066	1012624	859391	448617	211084	98	142778	1105389	1139457	52.70	52.78	20032	18347	5403	4685	38543.6	37391.2	13	14	55	61	0	0	0	0	0	0	0	0 + 1 part	501	96.962	1.000	0.00	15.57	11.77	142762	1104782	20032	18347	5399	4685	38518.3	37366.7	13	14	55	61
ERR3684642	534	189	73	32	6	0	1242131	1109966	839600	555838	186019	0	265	48223	1165247	1139457	52.67	52.78	9363	9435	1613	1900	12554.5	12838.6	35	34	141	128	1	1	2650	0	0	0	1	85 + 3 part	84141	94.833	1.000	0.00	11.75	11.66	48223	1080586	9363	9435	1417	1858	12459.9	12741.9	35	34	144	130
ERR3684643	115	61	41	34	14	6	1145337	1120197	1077668	1026286	696165	437860	79	115200	1133803	1139457	52.65	52.78	33709	33709	10133	10133	44078.1	43859.3	10	10	34	34	0	0	0	0	0	0	0	17 + 0 part	19572	97.777	1.000	0.00	7.81	12.03	115200	1113803	33709	33709	10129	10129	44043.0	43824.5	10	10	34	34
ERR3684644	219	156	70	31	2	1	1099549	1069962	828276	543092	105990	60900	182	60900	1088075	1139457	52.67	52.78	9944	9836	2954	2090	14559.7	13903.1	32	34	108	126	1	1	22150	1	0	0	0	5 + 0 part	4224	95.053	1.001	0.00	9.32	12.00	60900	1083376	9944	9836	2927	2060	14460.7	13808.6	32	34	109	128
ERR3684645	852	280	6	0	0	0	829152	554144	40122	0	0	0	507	9959	720164	1139457	54.13	52.78	1683	940	752	-	2156.0	1362.7	133	297	391	-	0	0	0	0	0	0	0	19 + 2 part	23524	61.101	1.000	0.00	14.22	13.36	9959	696141	1672	885	667	-	2110.6	1333.9	133	304	404	-
ERR3684646	636	324	23	4	0	0	989978	826457	173688	45553	0	0	482	12414	941281	1139457	52.48	52.78	2677	2212	879	-	3437.7	2839.8	105	146	346	-	1	1	8493	0	0	0	0	11 + 1 part	12075	81.568	1.000	0.00	10.33	10.12	12414	929156	2667	2212	842	-	3410.6	2817.4	106	146	351	-
ERR3684647	172	46	19	17	10	6	1195457	1150308	1104104	1088738	965782	807839	63	267702	1162429	1139457	52.67	52.78	108205	108205	17665	18182	124781.4	127297.0	4	4	14	13	1	1	30748	0	0	0	0	36 + 2 part	42314	98.307	1.000	0.00	6.25	11.78	267702	1120080	108205	108205	17665	18182	124684.0	127197.7	4	4	14	13
ERR3684648	694	11	0	0	0	0	229722	13982	0	0	0	0	88	2177	63633	1139457	53.17	52.78	684	-	538	-	818.1	45.7	34	-	76	-	2	2	2729	1	0	0	0	20 + 1 part	15743	4.202	1.000	0.00	27.16	10.44	1590	47873	602	-	-	-	576.9	32.2	40	-	-	-
ERR3684649	960	40	0	0	0	0	401875	54159	0	0	0	0	236	2463	188481	1139457	52.40	52.78	793	-	544	-	918.6	151.9	87	-	201	-	0	0	0	0	0	0	1	20 + 1 part	23954	14.432	1.001	0.00	19.45	12.77	2436	164510	739	-	-	-	746.7	123.5	98	-	-	-
ERR3684650	937	298	3	0	0	0	838500	520145	17011	0	0	0	580	6562	723646	1139457	52.68	52.78	1437	873	683	-	1692.4	1074.8	167	352	458	-	0	0	0	0	0	0	1	0 + 0 part	0	63.445	1.000	0.00	46.07	12.04	6562	722884	1437	873	683	-	1690.2	1073.4	167	352	458	-
ERR3684651	248	7	0	0	0	0	75593	9376	0	0	0	0	15	1562	15007	1139457	50.07	52.78	1258	-	591	-	1119.5	14.7	6	-	13	-	0	0	0	0	0	0	0	14 + 0 part	14492	0.045	1.002	0.00	0.00	194.17	515	515	-	-	-	-	17.7	0.2	-	-	-	-
ERR3684652	161	83	50	37	14	4	1151667	1121016	1044977	948000	586412	249737	102	70561	1134115	1139457	52.68	52.78	26042	26042	6763	6763	30443.4	30300.7	14	14	47	47	1	1	17529	0	0	0	0	22 + 1 part	25249	97.327	1.000	0.00	7.03	11.27	70561	1108763	26042	26042	6763	6683	30299.8	30157.8	14	14	47	48
ERR3684653	210	161	75	33	4	0	1091744	1068332	832338	532734	114949	0	182	34163	1084166	1139457	52.73	52.78	9767	9444	2938	2068	11787.8	11215.8	34	37	113	133	0	0	0	1	0	0	0	0 + 1 part	501	95.099	1.000	0.00	9.05	11.73	34163	1083133	9767	9444	2938	2068	11782.6	11210.8	34	37	113	133
ERR3684654	122	78	57	36	11	3	1126143	1106283	1049995	896460	492241	200764	93	70017	1117830	1139457	52.70	52.78	23560	21356	6668	6327	29179.2	28625.3	14	15	50	53	0	0	0	0	0	0	0	8 + 0 part	7618	97.399	1.000	0.00	16.31	12.17	70017	1109739	23560	21356	6668	6327	29159.9	28606.4	14	15	50	53
ERR3684655	514	288	36	9	0	0	1032719	917324	339232	147536	0	0	398	21540	995699	1139457	52.59	52.78	3684	3061	1122	-	5662.4	4948.0	74	96	268	-	1	1	3926	0	0	0	0	12 + 1 part	16488	85.921	1.000	0.00	12.97	11.24	21540	979054	3603	3061	1043	-	5633.0	4922.3	74	96	273	-
ERR3684656	578	275	60	19	1	0	1152845	1025142	548101	272854	30340	0	366	30340	1090538	1139457	52.65	52.78	5016	4684	1272	999	7050.6	6747.9	60	65	237	276	0	0	0	0	0	0	0	55 + 1 part	55206	90.668	1.001	0.00	12.09	11.90	30340	1033717	5016	4684	1095	618	6986.9	6686.9	60	65	242	295
ERR3684657	286	201	73	23	1	0	1067841	1021662	687345	341557	27191	0	243	27191	1053641	1139457	52.63	52.78	6816	6325	2091	968	8733.7	8076.0	46	52	155	205	1	1	2334	0	0	0	0	0 + 0 part	0	92.471	1.000	0.00	7.69	10.44	27191	1053596	6816	6325	2073	960	8731.5	8073.9	46	52	155	206
ERR3684658	271	185	80	30	1	0	1107885	1063992	792319	454013	28944	0	223	28944	1093289	1139457	52.62	52.78	7957	7844	2283	1645	9810.1	9412.6	41	44	133	155	0	0	0	0	0	0	0	14 + 6 part	23481	93.855	1.001	0.00	10.75	11.50	28944	1069755	7957	7844	2153	1470	9773.0	9377.1	41	44	134	157
ERR3684659	264	158	66	33	7	0	1130056	1084626	859336	620288	217774	0	192	36096	1109942	1139457	52.68	52.78	11781	11630	2541	1995	14418.7	14045.2	28	29	104	116	1	1	17941	0	0	0	0	19 + 5 part	28216	94.888	1.001	0.00	11.28	12.02	36096	1081379	11781	11630	2516	1938	14263.7	13894.2	28	29	106	118
ERR3684660	500	250	59	17	2	0	1149510	1040432	593921	302080	55187	0	329	28416	1100797	1139457	52.64	52.78	5331	5131	1315	1130	8623.6	8331.0	51	55	208	236	0	0	0	0	0	0	1	46 + 6 part	53246	91.842	1.001	0.00	13.08	11.65	28416	1047130	5331	5131	1156	856	8561.6	8271.1	51	55	211	246
ERR3684661	148	113	74	36	7	1	1109515	1092626	981572	710906	221538	56259	127	56259	1102188	1139457	52.72	52.78	15588	14911	4730	4125	17050.2	16492.5	24	26	77	84	0	0	0	0	0	0	0	3 + 0 part	2521	96.476	1.000	0.00	5.09	10.55	56259	1099186	15588	14911	4730	4125	17047.4	16489.8	24	26	77	84
ERR3684662	695	12	0	0	0	0	240342	16046	0	0	0	0	101	3459	74140	1139457	51.93	52.78	732	-	530	-	886.9	57.7	38	-	87	-	1	1	1264	0	0	0	0	7 + 0 part	5122	6.021	1.000	0.00	84.57	18.96	3032	68581	694	-	518	-	791.2	51.5	40	-	91	-
ERR3684663	574	14	0	0	0	0	207328	18694	0	0	0	0	85	2597	66788	1139457	53.57	52.78	772	-	566	-	917.0	53.7	32	-	73	-	1	1	2597	0	0	0	0	11 + 1 part	11017	4.880	1.002	0.00	71.84	28.74	2080	55676	684	-	-	-	694.4	40.7	37	-	-	-
ERR3684664	1071	132	0	0	0	0	600267	191161	0	0	0	0	450	3508	411724	1139457	52.50	52.78	945	-	558	-	1127.6	407.4	148	-	373	-	0	0	0	1	0	0	0	12 + 0 part	14399	34.852	1.000	0.00	44.58	12.85	3493	396998	922	-	542	-	1071.5	387.2	153	-	388	-
ERR3684665	363	219	68	17	1	0	1080985	1014398	596234	236651	25581	0	270	25581	1051883	1139457	52.91	52.78	5971	5242	1925	842	7275.0	6715.9	55	63	172	231	0	0	0	1	0	0	0	10 + 1 part	12372	91.215	1.000	0.00	9.53	10.30	25581	1039104	5971	5242	1877	718	7256.8	6699.1	55	63	172	237
ERR3684666	112	56	38	34	14	4	1134453	1111993	1076311	1044480	703824	335053	74	88266	1124089	1139457	52.83	52.78	33587	33587	12156	12093	43279.1	42695.4	10	10	32	33	0	0	0	1	0	0	0	13 + 0 part	16798	97.104	1.000	0.00	7.32	11.12	88266	1106092	33587	33587	12156	12093	43194.1	42611.5	10	10	32	33
ERR3684667	592	328	48	4	0	0	1072507	938437	331685	45418	0	0	445	13277	1026311	1139457	52.67	52.78	3250	2796	1100	503	4006.6	3608.7	93	112	314	444	0	0	0	0	0	0	1	45 + 2 part	51967	85.506	1.000	0.00	10.98	11.08	13277	974294	3250	2793	914	-	3932.6	3542.1	93	112	328	-
ERR3684668	741	18	0	0	0	0	294779	23009	0	0	0	0	167	1872	119994	1139457	52.60	52.78	696	-	537	-	795.7	83.8	65	-	144	-	2	2	3164	0	0	0	0	4 + 0 part	2422	10.318	1.000	0.00	61.26	30.63	1872	117536	693	-	528	-	766.3	80.7	66	-	147	-
ERR3684669	163	119	73	41	8	0	1103639	1083108	956459	725939	235206	0	138	34140	1096846	1139457	52.69	52.78	13207	13084	4402	3179	15328.2	14755.0	27	28	80	90	0	0	0	1	0	0	0	3 + 0 part	2049	95.999	1.001	0.00	9.14	11.70	34140	1094443	13207	13084	4326	3179	15324.1	14751.0	27	28	80	90
ERR3684670	1168	231	3	0	0	0	788981	372481	17999	0	0	0	550	7823	596478	1139457	52.54	52.78	1203	543	619	-	1498.6	784.5	164	499	442	-	2	2	9598	1	0	0	1	50 + 5 part	60993	46.919	1.001	0.00	20.56	10.47	7147	534989	1104	-	-	-	1346.9	705.1	173	-	-	-
ERR3684671	363	242	64	18	0	0	1052617	987147	536580	230528	0	0	308	17630	1035121	1139457	52.57	52.78	5218	4605	1557	586	6314.7	5736.4	61	71	199	291	0	0	0	1	0	0	0	2 + 0 part	1120	90.704	1.001	0.00	13.83	12.38	17630	1033659	5218	4572	1557	582	6309.5	5731.8	61	72	199	292
ERR3684672	951	322	7	0	0	0	940177	618253	46691	0	0	0	620	9394	835908	1139457	52.56	52.78	1606	1140	712	-	2033.3	1491.6	165	278	480	-	0	0	0	0	0	0	0	49 + 1 part	51019	68.850	1.000	0.00	18.74	13.13	9394	784357	1535	1062	578	-	1955.6	1434.7	166	285	511	-
ERR3684673	455	251	70	13	1	0	1094974	997368	597902	209876	35175	0	333	35175	1057437	1139457	52.74	52.78	5621	5203	1333	788	7365.1	6834.9	57	65	213	283	2	2	7514	0	0	0	0	34 + 0 part	32617	89.927	1.000	0.00	14.05	10.05	35175	1024740	5621	5155	1245	-	7323.0	6795.9	57	65	215	-
ERR3684674	1063	190	0	0	0	0	686949	284072	0	0	0	0	520	3876	518199	1139457	53.46	52.78	1083	-	594	-	1242.8	565.2	167	-	425	-	2	2	3951	0	0	0	0	16 + 0 part	14782	44.182	1.000	0.00	19.67	11.52	3876	503293	1048	-	564	-	1207.5	549.1	169	-	437	-
ERR3684675	1058	267	4	0	0	0	862837	480809	25951	0	0	0	591	7205	714086	1139457	52.45	52.78	1346	821	654	-	1782.0	1116.8	161	366	465	-	0	0	0	0	0	0	1	49 + 3 part	57648	57.498	1.001	0.00	50.05	10.38	7205	655304	1232	718	516	-	1661.3	1041.1	167	393	515	-
ERR3684676	610	324	22	2	0	0	974521	818691	150051	21890	0	0	473	11263	928944	1139457	52.87	52.78	2596	2085	929	-	3199.3	2608.3	109	155	342	-	0	0	0	0	0	0	0	1 + 0 part	876	81.446	1.000	0.00	11.21	10.24	11263	927847	2593	2085	926	-	3197.7	2607.0	110	155	343	-
ERR3684677	1061	176	0	0	0	0	663756	259277	0	0	0	0	515	4915	497442	1139457	52.61	52.78	1028	-	580	-	1204.1	525.7	166	-	423	-	1	1	2794	0	0	0	0	6 + 0 part	5693	43.169	1.000	0.00	16.27	8.74	4915	491730	1019	-	571	-	1188.4	518.8	167	-	428	-
ERR3684678	1017	174	0	0	0	0	652577	262644	0	0	0	0	492	4671	484987	1139457	51.73	52.78	1066	-	595	-	1261.1	536.7	155	-	403	-	1	1	2107	0	0	0	0	37 + 0 part	37965	39.188	1.000	0.00	23.52	11.65	4671	446379	989	-	518	-	1140.4	485.4	164	-	437	-
ERR3684679	1086	145	1	0	0	0	637735	227587	5137	0	0	0	447	5137	439876	1139457	53.38	52.78	1045	-	580	-	1272.0	491.0	138	-	366	-	2	2	3981	0	0	0	0	18 + 0 part	17575	37.068	1.000	0.00	23.21	12.55	5137	422260	999	-	545	-	1218.3	470.3	142	-	381	-
ERR3684680	713	321	18	0	0	0	931298	730014	108043	0	0	0	505	7650	865244	1139457	52.92	52.78	2215	1573	837	-	2629.6	1996.8	125	197	374	-	0	0	0	0	0	0	0	6 + 1 part	6818	75.338	1.000	0.00	15.50	10.37	7650	858246	2215	1571	813	-	2619.4	1989.0	125	197	377	-
ERR3684681	619	318	40	2	0	0	1016832	868008	260274	22215	0	0	455	11179	967920	1139457	52.55	52.78	2873	2528	997	-	3548.0	3013.9	101	133	322	-	0	0	0	0	0	0	0	21 + 0 part	19517	83.215	1.000	0.00	8.02	10.02	11179	947937	2873	2528	927	-	3525.8	2995.0	101	133	325	-
ERR3684682	1064	315	3	0	0	0	932580	572579	16195	0	0	0	622	5732	795002	1139457	52.39	52.78	1506	1005	685	-	1793.6	1251.4	172	313	487	-	1	1	2503	0	0	0	1	54 + 4 part	71985	63.337	1.001	0.00	24.93	10.80	5506	722017	1347	870	518	-	1639.3	1143.7	179	338	552	-
ERR3684683	1174	143	1	0	0	0	661606	222678	5140	0	0	0	455	5140	439884	1139457	52.18	52.78	1020	-	579	-	1296.8	500.6	141	-	374	-	0	0	0	1	0	0	0	68 + 2 part	67485	32.669	1.001	0.00	28.20	13.97	5140	372313	887	-	-	-	1096.5	423.3	155	-	-	-
ERR3684684	1039	337	25	1	0	0	1079445	799579	165950	10220	0	0	504	10220	922920	1139457	52.62	52.78	2382	1842	883	-	3016.2	2443.0	118	169	370	-	2	1	7982	0	0	0	0	30 + 4 part	32592	78.062	1.001	0.00	46.86	12.81	10220	889812	2357	1802	815	-	2919.6	2364.8	120	173	383	-
ERR3684685	798	329	8	0	0	0	933501	692188	52820	0	0	0	555	8607	857365	1139457	52.48	52.78	1909	1408	769	-	2355.1	1772.1	140	226	421	-	1	1	7659	0	0	0	0	13 + 1 part	18085	73.646	1.000	0.00	15.50	11.45	8607	838792	1879	1366	712	-	2302.1	1732.2	141	229	433	-
ERR3684686	368	195	84	32	2	0	1166197	1092785	826454	468194	59010	0	245	31044	1128849	1139457	52.57	52.78	7968	7921	2022	1926	9675.3	9585.2	43	44	143	148	0	0	0	0	0	0	1	44 + 4 part	55706	94.139	1.001	0.00	7.27	10.25	31044	1073064	7968	7921	1926	1776	9603.7	9514.2	43	44	144	149
ERR3684687	420	240	61	14	0	0	1082732	1002767	532288	178717	0	0	303	22532	1048161	1139457	52.68	52.78	5193	4695	1681	737	6383.4	5872.0	60	69	195	268	0	0	0	0	0	0	0	15 + 1 part	14881	90.618	1.001	0.00	12.88	12.39	22532	1032780	5193	4695	1679	622	6359.4	5849.9	60	69	195	275
ERR3684688	465	2	0	0	0	0	139853	2812	0	0	0	0	44	1496	30754	1139457	51.35	52.78	702	-	527	-	759.2	20.5	18	-	39	-	0	0	0	0	0	0	0	9 + 1 part	9036	1.907	1.000	0.00	46.04	18.42	949	21718	574	-	-	-	463.5	12.5	23	-	-	-
ERR3684689	863	34	0	0	0	0	344390	45558	0	0	0	0	189	2723	149160	1139457	54.00	52.78	797	-	540	-	934.1	122.3	67	-	161	-	3	3	4605	0	0	0	0	16 + 0 part	14161	11.832	1.002	0.00	65.19	27.41	2723	134980	708	-	387	-	826.3	108.2	72	-	174	-
ERR3684690	448	21	0	0	0	0	177888	31803	0	0	0	0	86	2749	74864	1139457	53.12	52.78	887	-	545	-	1097.3	72.1	28	-	72	-	0	0	0	0	0	0	1	30 + 2 part	37018	3.311	1.002	0.00	58.20	10.58	1382	37801	502	-	-	-	379.9	25.0	54	-	-	-
ERR3684691	512	24	0	0	0	0	197539	34357	0	0	0	0	88	2528	77921	1139457	51.57	52.78	908	-	554	-	1070.0	73.2	29	-	74	-	1	1	1871	0	0	0	0	62 + 1 part	59839	1.579	1.006	0.00	127.20	11.06	1620	18082	-	-	-	-	182.3	12.5	-	-	-	-
ERR3684692	666	11	0	0	0	0	231530	13523	0	0	0	0	103	1803	72144	1139457	53.31	52.78	660	-	532	-	770.3	48.8	41	-	90	-	0	0	0	0	0	0	0	4 + 0 part	2366	6.121	1.000	0.00	43.03	14.34	1803	69717	654	-	528	-	749.7	47.5	41	-	90	-
ERR3684693	477	8	0	0	0	0	154485	10945	0	0	0	0	56	1744	42741	1139457	52.72	52.78	756	-	549	-	874.8	32.8	21	-	48	-	0	0	0	0	0	0	0	12 + 0 part	12409	2.663	1.000	0.00	26.37	9.89	1526	30332	605	-	-	-	523.4	19.6	28	-	-	-
ERR3684694	285	161	75	31	4	1	1129602	1074700	848611	530443	142202	53878	202	53878	1104304	1139457	52.65	52.78	9452	9054	2447	2066	13199.6	12792.4	34	36	115	129	0	0	0	0	0	0	0	27 + 0 part	24015	94.758	1.000	0.00	9.35	12.04	53878	1079753	9452	9054	2447	2066	13173.0	12766.6	34	36	115	129
ERR3684695	122	65	55	39	13	2	1123256	1096928	1071805	954121	532345	108820	85	58705	1112429	1139457	52.78	52.78	23907	22311	8201	6916	27948.9	27286.0	14	15	45	48	0	0	0	0	0	0	0	6 + 0 part	4065	97.243	1.000	0.00	9.30	11.73	58705	1107967	22311	22311	8201	6916	27933.1	27270.5	15	15	45	48
ERR3684696	342	195	68	20	6	1	1127181	1058168	746588	411793	226805	53402	253	53402	1100647	1139457	52.64	52.78	7860	7362	1740	1359	13788.6	13319.0	37	39	146	168	0	0	0	1	0	0	1	33 + 3 part	33119	93.608	1.001	0.00	12.56	11.72	53402	1066852	7860	7362	1739	1312	13752.2	13283.8	37	39	146	169
ERR3684697	471	289	47	9	0	0	1025472	931876	351311	105831	0	0	373	15518	993469	1139457	52.62	52.78	3601	3180	1296	-	4642.1	4047.3	82	103	256	-	1	1	2190	0	0	0	0	6 + 0 part	5107	86.719	1.001	0.00	8.70	10.93	15518	988295	3601	3180	1291	-	4635.0	4041.2	82	103	257	-
ERR3684698	532	304	46	11	0	0	1058901	941673	353207	124971	0	0	415	13580	1022098	1139457	52.50	52.78	3618	3292	1104	-	4541.7	4073.9	84	101	284	-	0	0	0	0	0	0	0	27 + 0 part	27409	87.256	1.000	0.00	8.05	9.26	13580	994042	3618	3292	1056	-	4509.4	4044.9	84	101	288	-
ERR3684699	1091	156	0	0	0	0	649684	236723	0	0	0	0	477	4095	464024	1139457	52.68	52.78	1007	-	590	-	1231.0	501.3	152	-	392	-	3	3	4965	0	0	0	0	12 + 0 part	10887	39.749	1.001	0.00	30.90	13.46	4095	453090	984	-	562	-	1196.7	487.3	155	-	401	-
ERR3684700	66	47	36	29	18	6	1118921	1109089	1072697	1023046	868383	439956	59	112253	1117092	1139457	52.69	52.78	46325	46325	10594	9433	48014.3	47071.9	9	9	28	30	0	0	0	0	0	0	0	2 + 0 part	1077	97.911	1.000	0.00	8.07	11.38	112253	1115667	46325	46325	10594	9433	48011.9	47069.5	9	9	28	30
ERR3684701	935	33	0	0	0	0	381353	44234	0	0	0	0	225	3678	175752	1139457	52.97	52.78	779	-	545	-	924.4	142.6	84	-	192	-	0	0	0	0	0	0	0	1 + 0 part	552	15.376	1.000	0.00	53.10	11.99	3627	175149	779	-	544	-	920.6	142.0	84	-	192	-
ERR3684702	244	188	85	26	0	0	1084826	1055464	777021	359294	0	0	218	23694	1077277	1139457	52.64	52.78	7775	7073	2630	1651	8585.0	8116.5	47	51	138	166	0	0	0	0	0	0	0	5 + 1 part	4849	94.108	1.000	0.00	9.79	11.47	23662	1072360	7775	7069	2613	1638	8571.1	8103.4	47	51	139	167
ERR3684703	420	279	51	9	0	0	1030807	951921	410021	120564	0	0	359	23636	1011174	1139457	52.61	52.78	3943	3542	1298	-	5389.8	4783.0	73	90	243	-	1	1	2830	0	0	0	0	0 + 0 part	0	88.699	1.001	0.00	14.74	12.17	23636	1010827	3943	3542	1288	-	5381.9	4776.0	73	90	244	-
ERR3684704	878	314	3	0	0	0	866547	582784	18470	0	0	0	564	6880	763363	1139457	52.76	52.78	1608	1030	719	-	1920.9	1286.9	157	302	438	-	2	2	4520	0	0	0	0	8 + 1 part	7086	66.343	1.000	0.00	16.41	10.06	6502	755705	1601	1011	706	-	1900.5	1273.2	157	303	441	-
ERR3684705	1022	40	0	0	0	0	401409	61067	0	0	0	0	205	3790	168361	1139457	52.38	52.78	793	-	539	-	1101.8	162.8	67	-	173	-	3	2	4272	0	0	0	0	41 + 1 part	35396	11.639	1.000	0.00	35.44	9.05	3769	132605	681	-	-	-	776.9	114.8	82	-	-	-
ERR3684706	314	99	52	38	13	1	1203404	1120589	1017132	909041	522637	119407	152	119407	1156889	1139457	52.69	52.78	22575	22991	3756	4461	31043.0	31517.9	16	15	58	54	0	0	0	1	0	0	0	52 + 4 part	48487	97.146	1.001	0.00	9.48	11.83	119407	1107288	22575	22991	3756	4461	30983.5	31457.5	16	15	58	54
ERR3684707	759	316	18	0	0	0	970128	752734	119157	0	0	0	513	9432	890888	1139457	52.48	52.78	2313	1672	796	-	2858.4	2234.8	117	181	372	-	0	0	0	0	0	0	0	24 + 0 part	22248	76.131	1.001	0.00	14.41	10.37	9432	867612	2303	1672	717	-	2831.0	2213.4	117	181	380	-
ERR3684708	473	286	45	7	0	0	1020565	921954	341204	84296	0	0	382	17165	990730	1139457	52.65	52.78	3828	3101	1190	-	4631.3	4026.8	80	101	259	-	1	1	2922	0	0	0	0	1 + 0 part	974	86.822	1.000	0.00	12.03	9.81	17165	989058	3828	3101	1188	-	4626.0	4022.2	80	101	260	-
ERR3684709	1041	112	0	0	0	0	559068	162960	0	0	0	0	388	4180	353954	1139457	52.02	52.78	938	-	568	-	1134.4	352.4	127	-	322	-	2	2	5896	0	0	0	1	41 + 3 part	49425	26.665	1.001	0.00	33.22	13.16	3793	304017	811	-	-	-	918.6	285.4	146	-	-	-
ERR3684710	1032	212	1	0	0	0	728827	331350	6128	0	0	0	560	6128	577799	1139457	52.61	52.78	1113	510	611	-	1349.8	684.4	172	544	456	-	0	0	0	0	0	0	1	13 + 2 part	14121	49.422	1.000	0.00	59.49	11.90	5938	563167	1102	-	582	-	1311.3	664.9	174	-	466	-
ERR3684711	1182	123	1	0	0	0	614161	179618	6282	0	0	0	419	6282	385408	1139457	51.83	52.78	954	-	579	-	1176.2	397.8	137	-	348	-	1	1	6282	0	0	0	1	46 + 2 part	50535	29.185	1.002	0.00	23.13	13.52	5757	332933	845	-	-	-	986.6	333.7	152	-	-	-
ERR3684712	917	318	12	0	0	0	957878	676345	70840	0	0	0	564	7559	848826	1139457	52.54	52.78	1911	1401	709	-	2298.8	1712.5	141	228	423	-	0	0	0	0	0	0	0	40 + 1 part	42948	70.678	1.000	0.00	14.28	10.31	7559	805329	1876	1329	628	-	2227.5	1659.3	142	233	450	-
ERR3684713	973	358	16	3	1	0	1088217	803753	143756	58763	33006	0	598	33006	976109	1139457	52.25	52.78	2022	1704	776	-	3739.8	3203.7	136	180	442	-	0	0	0	1	0	0	1	83 + 7 part	117087	75.379	1.000	0.00	15.83	11.41	33006	858918	1870	1512	-	-	3509.3	3006.2	143	191	-	-
ERR3684714	815	322	5	0	0	0	868934	616410	29252	0	0	0	562	6627	786494	1139457	52.68	52.78	1698	1143	710	-	2004.5	1383.6	153	279	431	-	2	2	2928	1	0	0	0	0 + 0 part	0	69.004	1.000	0.00	15.14	9.67	6627	786128	1698	1142	708	-	2001.3	1381.4	153	279	433	-
