Gene,Nichols,Nichols - Madagascar,SS14,TEN,TPE,Accession,Name,Organism
hisS,189,37,279,8,31,WP_010882086,histidine--tRNA ligase [Treponema pallidum],Treponema pallidum
potA,189,37,279,8,31,WP_010881590,ABC transporter ATP-binding protein [Treponema pallidum],Treponema pallidum
mpfA,189,37,279,8,31,WP_010882094,MULTISPECIES: hemolysin family protein [Treponema],Treponema
group_194,189,37,279,8,31,WP_237260094,PQQ-binding-like beta-propeller repeat protein [Treponema pallidum],Treponema pallidum
ackA,189,37,279,8,31,WP_010881925,MULTISPECIES: acetate kinase [Treponema],Treponema
nadN,189,37,279,8,31,WP_010881553,NAD nucleotidase [Treponema pallidum],Treponema pallidum
polA,189,37,279,8,31,WP_014342269,DNA polymerase I [Treponema pallidum],Treponema pallidum
rlpA,189,37,279,8,31,WP_013945548,septal ring lytic transglycosylase RlpA family protein [Treponema paraluiscuniculi],Treponema paraluiscuniculi
group_190,189,37,279,8,31,WP_010881914,hypothetical protein [Treponema pallidum],Treponema pallidum
group_189,189,37,279,8,31,WP_013945025,CheR family methyltransferase [Treponema paraluiscuniculi],Treponema paraluiscuniculi
group_187,189,37,279,8,31,WP_013944936,MULTISPECIES: Crp/Fnr family transcriptional regulator [Treponema],Treponema
group_186,189,37,279,8,31,WP_014342242,methyl-accepting chemotaxis protein [Treponema pallidum],Treponema pallidum
group_184,189,37,279,8,31,WP_237260093,fibronectin type III domain-containing protein [Treponema pallidum],Treponema pallidum
ugpE,189,37,279,8,31,WP_014342258,carbohydrate ABC transporter permease [Treponema pallidum],Treponema pallidum
treA,189,37,279,8,31,WP_010882374,MGH1-like glycoside hydrolase domain-containing protein [Treponema pallidum],Treponema pallidum
group_182,189,37,279,8,31,WP_013945245,transglycosylase SLT domain-containing protein [Treponema paraluiscuniculi],Treponema paraluiscuniculi
group_180,189,37,279,8,31,WP_014342500,hypothetical protein [Treponema pallidum],Treponema pallidum
adaB,189,37,279,8,31,WP_010881589,methylated-DNA--[protein]-cysteine S-methyltransferase [Treponema pallidum],Treponema pallidum
sbcC,189,37,279,8,31,WP_014342512,exonuclease subunit SbcC [Treponema pallidum],Treponema pallidum
group_178,189,37,279,8,31,WP_010882072,MULTISPECIES: exonuclease SbcCD subunit D [Treponema],Treponema
trpS,189,37,279,8,31,WP_010882078,MULTISPECIES: tryptophan--tRNA ligase [Treponema],Treponema
flhA,189,37,279,8,31,WP_010882159,flagellar biosynthesis protein FlhA [Treponema pallidum],Treponema pallidum
mfd,189,37,279,8,31,WP_014342378,transcription-repair coupling factor [Treponema pallidum],Treponema pallidum
mutY,189,37,279,8,31,WP_010881791,A/G-specific adenine glycosylase [Treponema pallidum],Treponema pallidum
cmk,189,37,279,8,31,WP_010881790,(d)CMP kinase [Treponema pallidum],Treponema pallidum
tpn32,189,37,279,8,31,WP_010882265,MetQ/NlpA family ABC transporter substrate-binding protein [Treponema pallidum],Treponema pallidum
prfA,189,37,279,8,31,WP_012460512,peptide chain release factor 1 [Treponema pallidum],Treponema pallidum
miaA,189,37,279,8,31,WP_010882082,tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA [Treponema pallidum],Treponema pallidum
cdsA,189,37,279,8,31,WP_010882048,MULTISPECIES: phosphatidate cytidylyltransferase [Treponema],Treponema
accC,189,37,279,8,31,WP_014342542,ATP-grasp domain-containing protein [Treponema pallidum],Treponema pallidum
group_176,189,37,279,8,31,WP_010882406,ABC transporter permease [Treponema pallidum],Treponema pallidum
group_175,189,37,279,8,31,WP_014342667,hypothetical protein [Treponema pallidum],Treponema pallidum
recG,189,37,279,8,31,WP_010882132,ATP-dependent DNA helicase RecG [Treponema pallidum],Treponema pallidum
nusA,189,37,279,8,31,WP_010882335,transcription termination factor NusA [Treponema pallidum],Treponema pallidum
rpsC,189,37,279,8,31,WP_010881642,30S ribosomal protein S3 [Treponema pallidum],Treponema pallidum
gGDEF,189,37,279,8,31,WP_014342312,GGDEF domain-containing protein [Treponema pallidum],Treponema pallidum
ispH,189,37,279,8,31,WP_014342475,4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Treponema pallidum],Treponema pallidum
group_173,189,37,279,8,31,WP_014342591,hypothetical protein [Treponema pallidum],Treponema pallidum
group_172,189,37,279,8,31,WP_010882297,MULTISPECIES: P-loop NTPase [Treponema],Treponema
group_171,189,37,279,8,31,WP_014342614,SpoIIE family protein phosphatase [Treponema pallidum],Treponema pallidum
nadK,189,37,279,8,31,WP_014342426,NAD(+)/NADH kinase [Treponema pallidum],Treponema pallidum
rpsA,189,37,279,8,31,WP_014342353,30S ribosomal protein S1 [Treponema pallidum],Treponema pallidum
mreD~~~mrdA,189,37,279,8,31,WP_010881949,penicillin-binding protein 2 [Treponema pallidum],Treponema pallidum
mreC,189,37,279,8,31,WP_010881947,rod shape-determining protein MreC [Treponema pallidum],Treponema pallidum
yfgM,189,37,279,8,31,WP_010881946,rod shape-determining protein [Treponema pallidum],Treponema pallidum
valS,189,37,279,8,31,WP_014342703,valine--tRNA ligase [Treponema pallidum],Treponema pallidum
znuA,189,37,279,8,31,WP_010881483,metal ABC transporter substrate-binding protein [Treponema pallidum],Treponema pallidum
group_170,189,37,279,8,31,WP_014342529,hypothetical protein [Treponema pallidum],Treponema pallidum
metG,189,37,279,8,31,WP_010882243,methionine--tRNA ligase [Treponema pallidum],Treponema pallidum
udp,189,37,279,8,31,WP_010882471,MULTISPECIES: uridine phosphorylase [Treponema],Treponema
truA,189,37,279,8,31,WP_013945413,MULTISPECIES: tRNA pseudouridine(38-40) synthase TruA [Treponema],Treponema
gldG,189,37,279,8,31,WP_237250300,GldG family protein [Treponema pallidum],Treponema pallidum
prfB,189,37,279,8,31,WP_099156385,peptide chain release factor 2 [Treponema pallidum],Treponema pallidum
lepA,189,37,279,8,31,WP_014342457,translation elongation factor 4 [Treponema pallidum],Treponema pallidum
recO,189,37,279,8,31,WP_010882081,DNA repair protein RecO [Treponema pallidum],Treponema pallidum
group_169,189,37,279,8,31,WP_014342313,motility associated factor glycosyltransferase family protein [Treponema pallidum],Treponema pallidum
pcnB,189,37,279,8,31,WP_013944944,CCA tRNA nucleotidyltransferase [Treponema paraluiscuniculi],Treponema paraluiscuniculi
nupO,189,37,279,8,31,WP_014342369,ABC transporter ATP-binding protein [Treponema pallidum],Treponema pallidum
pgi,189,37,279,8,31,WP_014342442,glucose-6-phosphate isomerase [Treponema pallidum],Treponema pallidum
degQ,189,37,279,8,31,WP_014342474,S1C family serine protease [Treponema pallidum],Treponema pallidum
group_167,189,37,279,8,31,WP_002695065,hypothetical protein [Treponema phagedenis],Treponema phagedenis
ftsK,189,37,279,8,31,WP_010882443,DNA translocase FtsK [Treponema pallidum],Treponema pallidum
fldA,189,37,279,8,31,WP_010882368,MULTISPECIES: flavodoxin [Treponema],Treponema
lysS,189,37,279,8,31,WP_010882089,lysine--tRNA ligase [Treponema pallidum],Treponema pallidum
dnaQ,189,37,279,8,31,WP_010882088,exonuclease domain-containing protein [Treponema pallidum],Treponema pallidum
rpsU,189,37,279,8,31,WP_010882203,MULTISPECIES: 30S ribosomal protein S21 [Treponema],Treponema
group_166,189,37,279,8,31,WP_010882198,hypothetical protein [Treponema pallidum],Treponema pallidum
cfpA,189,37,279,8,31,WP_012460589,MULTISPECIES: cytoplasmic filament protein CfpA [Treponema],Treponema
group_165,189,37,279,8,31,WP_014342629,LptF/LptG family permease [Treponema pallidum],Treponema pallidum
flhF,189,37,279,8,31,WP_010882158,flagellar biosynthesis protein FlhF [Treponema pallidum],Treponema pallidum
group_164,189,37,279,8,31,WP_010882155,FapA family protein [Treponema pallidum],Treponema pallidum
group_162,189,37,279,8,31,WP_014342450,methyl-accepting chemotaxis protein [Treponema pallidum],Treponema pallidum
zwf,189,37,279,8,31,WP_014342444,glucose-6-phosphate dehydrogenase [Treponema pallidum],Treponema pallidum
group_161,189,37,279,8,31,WP_014342448,P83/100 family protein [Treponema pallidum],Treponema pallidum
lemA,189,37,279,8,31,WP_010882018,LemA family protein [Treponema pallidum],Treponema pallidum
pgl,189,37,279,8,31,WP_014342443,6-phosphogluconolactonase [Treponema pallidum],Treponema pallidum
group_158,189,37,279,8,31,WP_010881466,MULTISPECIES: tetratricopeptide repeat protein [Treponema],Treponema
cheX,189,37,279,8,31,WP_010881813,MULTISPECIES: chemotaxis protein CheX [Treponema],Treponema
rpoZ,189,37,279,8,31,WP_010882146,MULTISPECIES: DNA-directed RNA polymerase subunit omega [Treponema],Treponema
dctP,189,37,279,8,31,WP_010882401,TRAP transporter substrate-binding protein DctP [Treponema pallidum],Treponema pallidum
motB,189,37,279,8,31,WP_010882169,flagellar motor protein MotB [Treponema pallidum],Treponema pallidum
norV,189,37,279,8,31,WP_010882435,MULTISPECIES: rubredoxin [Treponema],Treponema
group_157,189,37,279,8,31,WP_235214055,glycogen-binding domain-containing protein [Treponema pallidum],Treponema pallidum
group_156,189,37,279,8,31,WP_014342669,hypothetical protein [Treponema pallidum],Treponema pallidum
thyX,189,37,279,8,31,WP_010882451,FAD-dependent thymidylate synthase [Treponema pallidum],Treponema pallidum
rplR,189,37,279,8,31,WP_010881652,50S ribosomal protein L18 [Treponema pallidum],Treponema pallidum
nth,189,37,279,8,31,WP_010882220,endonuclease III [Treponema pallidum],Treponema pallidum
licC,189,37,279,8,31,WP_080566296,phosphotransferase [Treponema pallidum],Treponema pallidum
mnmG,189,37,279,8,31,WP_010881493,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG [Treponema pallidum],Treponema pallidum
ycf37,189,37,279,8,31,WP_013945118,tetratricopeptide repeat protein [Treponema paraluiscuniculi],Treponema paraluiscuniculi
tpp17,189,37,279,8,31,WP_010881883,copper resistance protein NlpE [Treponema pallidum],Treponema pallidum
group_154,189,37,279,8,31,WP_010881879,type III pantothenate kinase [Treponema pallidum],Treponema pallidum
group_152,189,37,279,8,31,WP_010882192,hypothetical protein [Treponema pallidum],Treponema pallidum
whiG~~~fliA,189,37,279,8,31,WP_013945314,MULTISPECIES: RNA polymerase sigma factor WhiG [Treponema],Treponema
flaB1~~~flaB2,189,37,279,8,31,WP_010882237,MULTISPECIES: flagellin [Treponema],Treponema
ccdA,189,37,279,8,31,WP_013944807,MULTISPECIES: cytochrome c biogenesis protein CcdA [Treponema],Treponema
ileS,189,37,279,8,31,WP_014342431,isoleucine--tRNA ligase [Treponema pallidum],Treponema pallidum
fecR,189,37,279,8,31,WP_014342447,FecR family protein [Treponema pallidum],Treponema pallidum
uup,189,37,279,8,31,WP_014342604,ABC-F family ATP-binding cassette domain-containing protein [Treponema pallidum],Treponema pallidum
cbpA,189,37,279,8,31,WP_014505625,J domain-containing protein [Treponema pallidum],Treponema pallidum
ompA,189,37,279,8,31,WP_010882070,OmpA family protein [Treponema pallidum],Treponema pallidum
trkA,189,37,279,8,31,WP_010881587,potassium channel family protein [Treponema pallidum],Treponema pallidum
thrS,189,37,279,8,31,WP_010882281,threonine--tRNA ligase [Treponema pallidum],Treponema pallidum
tyrS,189,37,279,8,31,WP_014342602,tyrosine--tRNA ligase [Treponema pallidum],Treponema pallidum
cheB,189,37,279,8,31,WP_013945252,protein-glutamate methylesterase/protein-glutamine glutaminase [Treponema paraluiscuniculi],Treponema paraluiscuniculi
dedA,189,37,279,8,31,WP_235214028,DedA family protein [Treponema pallidum],Treponema pallidum
group_150,189,37,279,8,31,WP_010882209,HD-GYP domain-containing protein [Treponema pallidum],Treponema pallidum
group_149,189,37,279,8,31,WP_014342381,DUF2715 domain-containing protein [Treponema pallidum],Treponema pallidum
rplX,189,37,279,8,31,WP_010881647,MULTISPECIES: 50S ribosomal protein L24 [Treponema],Treponema
tpl,189,37,279,8,31,WP_013944762,PSP1 domain-containing protein [Treponema paraluiscuniculi],Treponema paraluiscuniculi
group_148,189,37,279,8,31,WP_014342441,tetratricopeptide repeat protein [Treponema pallidum],Treponema pallidum
group_147,189,37,279,8,31,WP_014342518,methyl-accepting chemotaxis protein [Treponema pallidum],Treponema pallidum
tar,189,37,279,8,31,WP_010882085,methyl-accepting chemotaxis protein [Treponema pallidum],Treponema pallidum
group_146,189,37,279,8,31,WP_014342517,hypothetical protein [Treponema pallidum],Treponema pallidum
fliM,189,37,279,8,31,WP_012460587,flagellar motor switch protein FliM [Treponema pallidum],Treponema pallidum
fliO,189,37,279,8,31,WP_014505585,FliO/MopB family protein [Treponema pallidum],Treponema pallidum
group_144,189,37,279,8,31,WP_010882054,HEAT repeat domain-containing protein [Treponema pallidum],Treponema pallidum
uppS,189,37,279,8,31,WP_010882049,di-trans,poly-cis-decaprenylcistransferase [Treponema pallidum],Treponema pallidum
salY,189,37,279,8,31,WP_010882407,ABC transporter permease [Treponema pallidum],Treponema pallidum
group_143,189,37,279,8,31,NA,NA,NA
recA,189,37,279,8,31,WP_014342541,recombinase RecA [Treponema pallidum],Treponema pallidum
infB,189,37,279,8,31,WP_010882334,translation initiation factor IF-2 [Treponema pallidum],Treponema pallidum
group_141,189,37,279,8,31,WP_014342434,hypothetical protein [Treponema pallidum],Treponema pallidum
group_139,189,37,279,8,31,WP_010881666,PP2C family protein-serine/threonine phosphatase [Treponema pallidum],Treponema pallidum
efp,189,37,279,8,31,WP_010881973,elongation factor P [Treponema pallidum],Treponema pallidum
tilS,189,37,279,8,31,WP_010881821,tRNA lysidine(34) synthetase TilS [Treponema pallidum],Treponema pallidum
lptB,189,37,279,8,31,WP_010882231,LPS export ABC transporter ATP-binding protein [Treponema pallidum],Treponema pallidum
lgt,189,37,279,8,31,WP_014342613,prolipoprotein diacylglyceryl transferase [Treponema pallidum],Treponema pallidum
group_130,189,37,279,8,31,WP_010882444,hypothetical protein [Treponema pallidum],Treponema pallidum
group_128,189,37,279,8,31,WP_245522184,hypothetical protein [Treponema paraluiscuniculi],Treponema paraluiscuniculi
group_127,189,37,279,8,31,WP_014505655,hypothetical protein [Treponema pallidum],Treponema pallidum
rodA,189,37,279,8,31,WP_010881950,rod shape-determining protein RodA [Treponema pallidum],Treponema pallidum
trxA,189,37,279,8,31,WP_010882362,thioredoxin [Treponema pallidum],Treponema pallidum
group_126,189,37,279,8,31,WP_010881952,hypothetical protein [Treponema pallidum],Treponema pallidum
mnmE,189,37,279,8,31,WP_014342480,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE [Treponema pallidum],Treponema pallidum
add,189,37,279,8,31,WP_010881494,adenosine deaminase [Treponema pallidum],Treponema pallidum
ruvB,189,37,279,8,31,WP_010881609,MULTISPECIES: Holliday junction branch migration DNA helicase RuvB [Treponema],Treponema
miaB,189,37,279,8,31,WP_010882199,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB [Treponema pallidum],Treponema pallidum
alpA,189,37,279,8,31,WP_013945354,MULTISPECIES: PTS sugar transporter subunit IIA [Treponema],Treponema
znuB,189,37,279,8,31,WP_010881485,metal ABC transporter permease [Treponema pallidum],Treponema pallidum
group_124,189,37,279,8,31,WP_013945278,hypothetical protein [Treponema paraluiscuniculi],Treponema paraluiscuniculi
group_121,189,37,279,8,31,WP_014342662,TraB/GumN family protein [Treponema pallidum],Treponema pallidum
group_118,189,37,279,8,31,WP_010882121,MULTISPECIES: hypothetical protein [Treponema],Treponema
group_117,189,37,279,8,31,WP_010882151,LysM peptidoglycan-binding domain-containing M23 family metallopeptidase [Treponema pallidum],Treponema pallidum
group_116,189,37,279,8,31,WP_014342645,PEGA domain-containing protein [Treponema pallidum],Treponema pallidum
group_115,189,37,279,8,31,WP_014342339,GerMN domain-containing protein [Treponema pallidum],Treponema pallidum
dnaG,189,37,279,8,31,WP_014342452,DNA primase [Treponema pallidum],Treponema pallidum
apt,189,37,279,8,31,WP_013945592,MULTISPECIES: adenine phosphoribosyltransferase [Treponema],Treponema
tatD,189,37,279,8,31,WP_010882423,TatD family hydrolase [Treponema pallidum],Treponema pallidum
group_114,189,37,279,8,31,WP_010882458,hypothetical protein [Treponema pallidum],Treponema pallidum
rnfC,189,37,279,8,31,WP_014342303,SLBB domain-containing protein [Treponema pallidum],Treponema pallidum
group_113,189,37,279,8,31,WP_010881604,1-acyl-sn-glycerol-3-phosphate acyltransferase [Treponema pallidum],Treponema pallidum
tsaD,189,37,279,8,31,WP_013945290,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD [Treponema paraluiscuniculi],Treponema paraluiscuniculi
group_112,189,37,279,8,31,WP_010882123,hypothetical protein [Treponema pallidum],Treponema pallidum
sSL2,189,37,279,8,31,WP_010881828,DNA repair helicase XPB [Treponema pallidum],Treponema pallidum
ahpC,189,37,279,8,31,WP_010881958,MULTISPECIES: redoxin domain-containing protein [Treponema],Treponema
clpP1,189,37,279,8,31,WP_010881956,ATP-dependent Clp protease proteolytic subunit [Treponema pallidum],Treponema pallidum
hflC,189,37,279,8,31,WP_010881563,MULTISPECIES: protease modulator HflC [Treponema],Treponema
group_111,189,37,279,8,31,WP_010882226,MULTISPECIES: hypothetical protein [Treponema],Treponema
fliF,189,37,279,8,31,WP_010881847,flagellar basal-body MS-ring/collar protein FliF [Treponema pallidum],Treponema pallidum
group_110,189,37,279,8,31,WP_010881722,hypothetical protein [Treponema pallidum],Treponema pallidum
parB,189,37,279,8,31,WP_010881720,ParB/RepB/Spo0J family partition protein [Treponema pallidum],Treponema pallidum
tpn39b,189,37,279,8,31,WP_010882460,peptidyl-prolyl cis-trans isomerase [Treponema pallidum],Treponema pallidum
leuS,189,37,279,8,31,WP_013945222,leucine--tRNA ligase [Treponema paraluiscuniculi],Treponema paraluiscuniculi
ldcA,189,37,279,8,31,WP_010882134,ribosome biogenesis GTPase Der [Treponema pallidum],Treponema pallidum
glpQ,189,37,279,8,31,WP_235214078,glycerophosphodiester phosphodiesterase [Treponema pallidum],Treponema pallidum
tACO1,189,37,279,8,31,WP_010881923,MULTISPECIES: YebC/PmpR family DNA-binding transcriptional regulator [Treponema],Treponema
lolA,189,37,279,8,31,WP_010881781,LolA family protein [Treponema pallidum],Treponema pallidum
group_102,189,37,279,8,31,WP_014342375,CPBP family glutamic-type intramembrane protease [Treponema pallidum],Treponema pallidum
group_101,189,37,279,8,31,WP_014342653,dicarboxylate/amino acid:cation symporter [Treponema pallidum],Treponema pallidum
ycf19,189,37,279,8,31,WP_012460585,MULTISPECIES: YggT family protein [Treponema],Treponema
pheS,189,37,279,8,31,WP_010882417,phenylalanine--tRNA ligase subunit alpha [Treponema pallidum],Treponema pallidum
ntpC,189,37,279,8,31,WP_010881981,V0D/AC39 family V-type ATPase subunit [Treponema pallidum],Treponema pallidum
ntpI~~~atpI2,189,37,279,8,31,WP_014342463,V-type ATP synthase subunit I [Treponema pallidum],Treponema pallidum
secG,189,37,279,8,31,WP_014342465,preprotein translocase subunit SecG [Treponema pallidum],Treponema pallidum
yncE,189,37,279,8,31,WP_235214101,tetratricopeptide repeat protein [Treponema pallidum],Treponema pallidum
clpA,189,37,279,8,31,WP_014342479,ATP-dependent Clp protease ATP-binding subunit [Treponema pallidum],Treponema pallidum
group_96,189,37,279,8,31,WP_010881606,MULTISPECIES: hypothetical protein [Treponema],Treponema
dnaX,189,37,279,8,31,WP_010882449,DNA polymerase III subunit gamma/tau [Treponema pallidum],Treponema pallidum
atpD2,189,37,279,8,31,WP_010881975,V-type ATP synthase subunit D [Treponema pallidum],Treponema pallidum
group_93,189,37,279,8,31,WP_014342565,6-hydroxymethylpterin diphosphokinase MptE-like protein [Treponema pallidum],Treponema pallidum
fusA,189,37,279,8,31,WP_010882212,MULTISPECIES: elongation factor G [Treponema],Treponema
group_92,189,37,279,8,31,WP_237260056,SPOR domain-containing protein [Treponema pallidum],Treponema pallidum
group_91,189,37,279,8,31,WP_010882195,vWA domain-containing protein [Treponema pallidum],Treponema pallidum
flhG,189,37,279,8,31,WP_010882157,MULTISPECIES: MinD/ParA family protein [Treponema],Treponema
nifJ,189,37,279,8,31,WP_010882382,pyruvate:ferredoxin (flavodoxin) oxidoreductase [Treponema pallidum],Treponema pallidum
dnaK,189,37,279,8,31,WP_010881664,MULTISPECIES: molecular chaperone DnaK [Treponema],Treponema
eda,189,37,279,8,31,WP_010882015,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase [Treponema pallidum],Treponema pallidum
group_88,189,37,279,8,31,WP_235214060,vWA domain-containing protein [Treponema pallidum],Treponema pallidum
holA,189,37,279,8,31,WP_014342499,DNA polymerase III subunit delta [Treponema pallidum],Treponema pallidum
hprK,189,37,279,8,31,WP_013945224,MULTISPECIES: HPr(Ser) kinase/phosphatase [Treponema],Treponema
bamA,189,37,279,8,31,WP_014342371,outer membrane protein assembly factor BamA [Treponema pallidum],Treponema pallidum
cheY,189,37,279,8,31,WP_010881814,MULTISPECIES: response regulator [Treponema],Treponema
ePT1,189,37,279,8,31,WP_014342533,CDP-alcohol phosphatidyltransferase family protein [Treponema pallidum],Treponema pallidum
glyQS,189,37,279,8,31,WP_010882117,glycine--tRNA ligase [Treponema pallidum],Treponema pallidum
motA,189,37,279,8,31,WP_010882170,MULTISPECIES: motility protein A [Treponema],Treponema
group_87,189,37,279,8,31,WP_014342256,HDOD domain-containing protein [Treponema pallidum],Treponema pallidum
flcA~~~fimV,189,37,279,8,31,WP_014342683,periplasmic flagellar collar protein FlcA [Treponema pallidum],Treponema pallidum
group_86,189,37,279,8,31,WP_175607978,hypothetical protein [Treponema pallidum],Treponema pallidum
rpsE,189,37,279,8,31,WP_010881653,30S ribosomal protein S5 [Treponema pallidum],Treponema pallidum
fmhB,189,37,279,8,31,WP_237260059,peptidoglycan bridge formation glycyltransferase FemA/FemB family protein [Treponema pallidum],Treponema pallidum
group_83,189,37,279,8,31,WP_010881939,MULTISPECIES: hypothetical protein [Treponema],Treponema
ppiC,189,37,279,8,31,WP_010882372,hypothetical protein [Treponema pallidum],Treponema pallidum
group_82,189,37,279,8,31,WP_235214048,6-hydroxymethylpterin diphosphokinase MptE-like protein [Treponema pallidum],Treponema pallidum
mltE,189,37,279,8,31,WP_014342243,flagellar assembly lytic transglycosylase [Treponema pallidum],Treponema pallidum
nrnA,189,37,279,8,31,WP_013945087,DHH family phosphoesterase [Treponema paraluiscuniculi],Treponema paraluiscuniculi
trmD,189,37,279,8,31,WP_010882351,tRNA (guanosine(37)-N1)-methyltransferase TrmD [Treponema pallidum],Treponema pallidum
khpA,189,37,279,8,31,WP_010882349,MULTISPECIES: KH domain-containing protein [Treponema],Treponema
group_81,189,37,279,8,31,WP_014342487,hypothetical protein [Treponema pallidum],Treponema pallidum
spsE,189,37,279,8,31,WP_010882009,N-acetylneuraminate synthase family protein [Treponema pallidum],Treponema pallidum
group_79,189,37,279,8,31,WP_010882472,ATP-dependent helicase [Treponema pallidum],Treponema pallidum
ppdK,189,37,279,8,31,WP_014342562,putative PEP-binding protein [Treponema pallidum],Treponema pallidum
ntpF,189,37,279,8,31,WP_014342462,V-type ATP synthase subunit F [Treponema pallidum],Treponema pallidum
group_76,189,37,279,8,31,WP_235214036,GNAT family N-acetyltransferase [Treponema pallidum],Treponema pallidum
group_74,189,37,279,8,31,WP_014342432,double zinc ribbon domain-containing protein [Treponema pallidum],Treponema pallidum
zapA,189,37,279,8,31,WP_010882290,cell division protein ZapA [Treponema pallidum],Treponema pallidum
sTAS,189,37,279,8,31,WP_013945178,MULTISPECIES: anti-sigma factor antagonist [Treponema],Treponema
rplN,189,37,279,8,31,WP_010881646,50S ribosomal protein L14 [Treponema pallidum],Treponema pallidum
rplE,189,37,279,8,31,WP_014342323,50S ribosomal protein L5 [Treponema pallidum],Treponema pallidum
wecG,189,37,279,8,31,WP_010881724,WecB/TagA/CpsF family glycosyltransferase [Treponema pallidum],Treponema pallidum
btlA,189,37,279,8,31,WP_014342605,MFS transporter [Treponema pallidum],Treponema pallidum
map,189,37,279,8,31,WP_010882286,type I methionyl aminopeptidase [Treponema pallidum],Treponema pallidum
group_73,189,37,279,8,31,WP_014342255,hypothetical protein [Treponema pallidum],Treponema pallidum
group_71,189,37,279,8,31,WP_014342264,DUF192 domain-containing protein [Treponema pallidum],Treponema pallidum
rpoC,189,37,279,8,31,WP_010881690,MULTISPECIES: DNA-directed RNA polymerase subunit beta' [Treponema],Treponema
group_69,189,37,279,8,31,WP_012460591,efflux RND transporter permease subunit [Treponema pallidum],Treponema pallidum
jag,189,37,279,8,31,WP_010882391,RNA-binding cell elongation regulator Jag/EloR [Treponema pallidum],Treponema pallidum
pepF,189,37,279,8,31,WP_010882470,M3 family oligoendopeptidase [Treponema pallidum],Treponema pallidum
alaS,189,37,279,8,31,WP_010882461,alanine--tRNA ligase [Treponema pallidum],Treponema pallidum
gatC,189,37,279,8,31,WP_014505682,MULTISPECIES: Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC [Treponema],Treponema
group_68,189,37,279,8,31,WP_010882279,ankyrin repeat domain-containing protein [Treponema pallidum],Treponema pallidum
cheR,189,37,279,8,31,WP_012460582,CheR family methyltransferase [Treponema pallidum],Treponema pallidum
flgC~~~flgB,189,37,279,8,31,WP_013945054,MULTISPECIES: flagellar basal body rod protein FlgC [Treponema],Treponema
fliP,189,37,279,8,31,WP_010882163,flagellar type III secretion system pore protein FliP [Treponema pallidum],Treponema pallidum
ybeY,189,37,279,8,31,WP_010882095,MULTISPECIES: rRNA maturation RNase YbeY [Treponema],Treponema
mMP0363,189,37,279,8,31,WP_245522162,hypothetical protein [Treponema paraluiscuniculi],Treponema paraluiscuniculi
rpsL,189,37,279,8,31,WP_010881691,MULTISPECIES: 30S ribosomal protein S12 [Treponema],Treponema
mraY,189,37,279,8,31,WP_010881793,phospho-N-acetylmuramoyl-pentapeptide-transferase [Treponema pallidum],Treponema pallidum
group_63,189,37,279,8,31,WP_010881786,hypothetical protein [Treponema pallidum],Treponema pallidum
yaaR,189,37,279,8,31,WP_010881496,MULTISPECIES: YaaR family protein [Treponema],Treponema
infC,189,37,279,8,31,WP_010882294,translation initiation factor IF-3 [Treponema pallidum],Treponema pallidum
spoIIQ2,189,37,279,8,31,WP_014342245,M23 family metallopeptidase [Treponema pallidum],Treponema pallidum
ssb,189,37,279,8,31,WP_010881511,MULTISPECIES: single-stranded DNA-binding protein [Treponema],Treponema
rsmD,189,37,279,8,31,WP_014342251,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD [Treponema pallidum],Treponema pallidum
fliN,189,37,279,8,31,WP_010882165,flagellar motor switch protein FliN [Treponema pallidum],Treponema pallidum
rpsB,189,37,279,8,31,WP_010882052,30S ribosomal protein S2 [Treponema pallidum],Treponema pallidum
frr,189,37,279,8,31,WP_010882050,MULTISPECIES: ribosome recycling factor [Treponema],Treponema
uvrB,189,37,279,8,31,WP_013944822,excinuclease ABC subunit UvrB [Treponema paraluiscuniculi],Treponema paraluiscuniculi
group_57,189,37,279,8,31,WP_016484223,hypothetical protein [Treponema pallidum],Treponema pallidum
trkG,189,37,279,8,31,WP_245522151,TrkH family potassium uptake protein [Treponema paraluiscuniculi],Treponema paraluiscuniculi
rplM,189,37,279,8,31,WP_010882469,MULTISPECIES: 50S ribosomal protein L13 [Treponema],Treponema
tuf,189,37,279,8,31,WP_010881634,MULTISPECIES: elongation factor Tu [Treponema],Treponema
group_55,189,37,279,8,31,WP_010882138,hypothetical protein [Treponema pallidum],Treponema pallidum
pncA,189,37,279,8,31,WP_014342543,cysteine hydrolase family protein [Treponema pallidum],Treponema pallidum
lolD,189,37,279,8,31,WP_010882408,MULTISPECIES: ABC transporter ATP-binding protein [Treponema],Treponema
yqfA,189,37,279,8,31,WP_010882481,PAQR family membrane homeostasis protein TrhA [Treponema pallidum],Treponema pallidum
