Assembly Accession	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value
GCA_015239415.1	strain	SMUTp_07
GCA_015239415.1	alternate_ID	07
GCA_015239415.1	collected_by	Dermatology hospital of Southern Medical University
GCA_015239415.1	collection_date	2018
GCA_015239415.1	geo_loc_name	China: Guangzhou
GCA_015239415.1	host	Homo sapiens
GCA_015239415.1	host_disease	Syphilis
GCA_015239415.1	isolation_source	Chancre
GCA_015239415.1	lat_lon	23.8 N 113.17 E
GCA_015239415.1	sub_species	pallidum
GCA_018199035.3	strain	ItalyGE4b
GCA_018199035.3	collected_by	NA
GCA_018199035.3	collection_date	2017
GCA_018199035.3	geo_loc_name	Italy
GCA_018199035.3	host	Homo sapiens
GCA_018199035.3	host_disease	syphilis
GCA_018199035.3	isolation_source	swab
GCA_018199035.3	lat_lon	missing
GCA_018199075.2	strain	ItalyAS23
GCA_018199075.2	collected_by	NA
GCA_018199075.2	collection_date	2017
GCA_018199075.2	geo_loc_name	Italy
GCA_018199075.2	host	Homo sapiens
GCA_018199075.2	host_disease	syphilis
GCA_018199075.2	isolation_source	swab
GCA_018199075.2	lat_lon	missing
GCA_018199115.2	strain	ItalyAS14
GCA_018199115.2	collected_by	NA
GCA_018199115.2	collection_date	2017
GCA_018199115.2	geo_loc_name	Italy
GCA_018199115.2	host	Homo sapiens
GCA_018199115.2	host_disease	syphilis
GCA_018199115.2	isolation_source	swab
GCA_018199115.2	lat_lon	missing
GCA_018199255.2	strain	Italy7CGx
GCA_018199255.2	collected_by	NA
GCA_018199255.2	collection_date	2017
GCA_018199255.2	geo_loc_name	Italy
GCA_018199255.2	host	Homo sapiens
GCA_018199255.2	host_disease	syphilis
GCA_018199255.2	isolation_source	swab
GCA_018199255.2	lat_lon	missing
GCA_018199335.2	strain	Italy8PLe
GCA_018199335.2	collected_by	NA
GCA_018199335.2	collection_date	2017
GCA_018199335.2	geo_loc_name	Italy
GCA_018199335.2	host	Homo sapiens
GCA_018199335.2	host_disease	syphilis
GCA_018199335.2	isolation_source	swab
GCA_018199335.2	lat_lon	missing
GCA_018199375.2	strain	Dublin58B
GCA_018199375.2	collected_by	NA
GCA_018199375.2	collection_date	2002
GCA_018199375.2	geo_loc_name	Ireland
GCA_018199375.2	host	Homo sapiens
GCA_018199375.2	host_disease	syphilis
GCA_018199375.2	isolation_source	swab
GCA_018199375.2	lat_lon	missing
GCA_018199415.2	strain	Italy17LGMi
GCA_018199415.2	collected_by	NA
GCA_018199415.2	collection_date	2017
GCA_018199415.2	geo_loc_name	Italy
GCA_018199415.2	host	Homo sapiens
GCA_018199415.2	host_disease	syphilis
GCA_018199415.2	isolation_source	swab
GCA_018199415.2	lat_lon	missing
GCA_018199435.2	strain	Dublin57B
GCA_018199435.2	collected_by	NA
GCA_018199435.2	collection_date	2002
GCA_018199435.2	geo_loc_name	Ireland
GCA_018199435.2	host	Homo sapiens
GCA_018199435.2	host_disease	syphilis
GCA_018199435.2	isolation_source	swab
GCA_018199435.2	lat_lon	missing
GCA_018199455.2	strain	Dublin55B
GCA_018199455.2	collected_by	NA
GCA_018199455.2	collection_date	2002
GCA_018199455.2	geo_loc_name	Ireland
GCA_018199455.2	host	Homo sapiens
GCA_018199455.2	host_disease	syphilis
GCA_018199455.2	isolation_source	swab
GCA_018199455.2	lat_lon	missing
GCA_018199475.2	strain	Dublin54B
GCA_018199475.2	collected_by	NA
GCA_018199475.2	collection_date	2002
GCA_018199475.2	geo_loc_name	Ireland
GCA_018199475.2	host	Homo sapiens
GCA_018199475.2	host_disease	syphilis
GCA_018199475.2	isolation_source	swab
GCA_018199475.2	lat_lon	missing
GCA_018199495.2	strain	Dublin52B
GCA_018199495.2	collected_by	NA
GCA_018199495.2	collection_date	2002
GCA_018199495.2	geo_loc_name	Ireland
GCA_018199495.2	host	Homo sapiens
GCA_018199495.2	host_disease	syphilis
GCA_018199495.2	isolation_source	swab
GCA_018199495.2	lat_lon	missing
GCA_018199515.2	strain	Dublin41B
GCA_018199515.2	collected_by	NA
GCA_018199515.2	collection_date	2002
GCA_018199515.2	geo_loc_name	Ireland
GCA_018199515.2	host	Homo sapiens
GCA_018199515.2	host_disease	syphilis
GCA_018199515.2	isolation_source	swab
GCA_018199515.2	lat_lon	missing
GCA_018199535.2	strain	Dublin50B
GCA_018199535.2	collected_by	NA
GCA_018199535.2	collection_date	2002
GCA_018199535.2	geo_loc_name	Ireland
GCA_018199535.2	host	Homo sapiens
GCA_018199535.2	host_disease	syphilis
GCA_018199535.2	isolation_source	swab
GCA_018199535.2	lat_lon	missing
GCA_018199555.2	strain	Dublin46B
GCA_018199555.2	collected_by	NA
GCA_018199555.2	collection_date	2002
GCA_018199555.2	geo_loc_name	Ireland
GCA_018199555.2	host	Homo sapiens
GCA_018199555.2	host_disease	syphilis
GCA_018199555.2	isolation_source	swab
GCA_018199555.2	lat_lon	missing
GCA_018199575.2	strain	Dublin37B
GCA_018199575.2	collected_by	NA
GCA_018199575.2	collection_date	2002
GCA_018199575.2	geo_loc_name	Ireland
GCA_018199575.2	host	Homo sapiens
GCA_018199575.2	host_disease	syphilis
GCA_018199575.2	isolation_source	swab
GCA_018199575.2	lat_lon	missing
GCA_018199595.2	strain	Dublin24B
GCA_018199595.2	collected_by	NA
GCA_018199595.2	collection_date	2002
GCA_018199595.2	geo_loc_name	Ireland
GCA_018199595.2	host	Homo sapiens
GCA_018199595.2	host_disease	syphilis
GCA_018199595.2	isolation_source	swab
GCA_018199595.2	lat_lon	missing
GCA_018199615.2	strain	Dublin21Be
GCA_018199615.2	collected_by	NA
GCA_018199615.2	collection_date	2002
GCA_018199615.2	geo_loc_name	Ireland
GCA_018199615.2	host	Homo sapiens
GCA_018199615.2	host_disease	syphilis
GCA_018199615.2	isolation_source	swab
GCA_018199615.2	lat_lon	missing
GCA_018199635.2	strain	China48
GCA_018199635.2	collected_by	NA
GCA_018199635.2	collection_date	2018
GCA_018199635.2	geo_loc_name	China
GCA_018199635.2	host	Homo sapiens
GCA_018199635.2	host_disease	syphilis
GCA_018199635.2	isolation_source	swab
GCA_018199635.2	lat_lon	missing
GCA_018199735.2	strain	China47
GCA_018199735.2	collected_by	NA
GCA_018199735.2	collection_date	2018
GCA_018199735.2	geo_loc_name	China
GCA_018199735.2	host	Homo sapiens
GCA_018199735.2	host_disease	syphilis
GCA_018199735.2	isolation_source	swab
GCA_018199735.2	lat_lon	missing
GCA_018199835.2	strain	China44
GCA_018199835.2	collected_by	NA
GCA_018199835.2	collection_date	2018
GCA_018199835.2	geo_loc_name	China
GCA_018199835.2	host	Homo sapiens
GCA_018199835.2	host_disease	syphilis
GCA_018199835.2	isolation_source	swab
GCA_018199835.2	lat_lon	missing
GCA_018199875.2	strain	China30
GCA_018199875.2	collected_by	NA
GCA_018199875.2	collection_date	2018
GCA_018199875.2	geo_loc_name	China
GCA_018199875.2	host	Homo sapiens
GCA_018199875.2	host_disease	syphilis
GCA_018199875.2	isolation_source	swab
GCA_018199875.2	lat_lon	missing
GCA_018199895.2	strain	China42
GCA_018199895.2	collected_by	NA
GCA_018199895.2	collection_date	2018
GCA_018199895.2	geo_loc_name	China
GCA_018199895.2	host	Homo sapiens
GCA_018199895.2	host_disease	syphilis
GCA_018199895.2	isolation_source	swab
GCA_018199895.2	lat_lon	missing
GCA_018199915.2	strain	China31
GCA_018199915.2	collected_by	NA
GCA_018199915.2	collection_date	2018
GCA_018199915.2	geo_loc_name	China
GCA_018199915.2	host	Homo sapiens
GCA_018199915.2	host_disease	syphilis
GCA_018199915.2	isolation_source	swab
GCA_018199915.2	lat_lon	missing
GCA_018199935.2	strain	China23
GCA_018199935.2	collected_by	NA
GCA_018199935.2	collection_date	2018
GCA_018199935.2	geo_loc_name	China
GCA_018199935.2	host	Homo sapiens
GCA_018199935.2	host_disease	syphilis
GCA_018199935.2	isolation_source	swab
GCA_018199935.2	lat_lon	missing
GCA_018200055.3	strain	UAB6xi
GCA_018200055.3	collected_by	NA
GCA_018200055.3	collection_date	2001
GCA_018200055.3	geo_loc_name	Madagascar
GCA_018200055.3	host	Homo sapiens
GCA_018200055.3	host_disease	syphilis
GCA_018200055.3	isolation_source	swab
GCA_018200055.3	lat_lon	missing
GCA_018200075.2	strain	UAB515xi
GCA_018200075.2	collected_by	NA
GCA_018200075.2	collection_date	2006
GCA_018200075.2	geo_loc_name	Madagascar
GCA_018200075.2	host	Homo sapiens
GCA_018200075.2	host_disease	syphilis
GCA_018200075.2	isolation_source	swab
GCA_018200075.2	lat_lon	missing
GCA_018200095.2	strain	UAB522x
GCA_018200095.2	collected_by	NA
GCA_018200095.2	collection_date	2006
GCA_018200095.2	geo_loc_name	Madagascar
GCA_018200095.2	host	Homo sapiens
GCA_018200095.2	host_disease	syphilis
GCA_018200095.2	isolation_source	swab
GCA_018200095.2	lat_lon	missing
GCA_018200115.2	strain	UAB523x
GCA_018200115.2	collected_by	NA
GCA_018200115.2	collection_date	2006
GCA_018200115.2	geo_loc_name	Madagascar
GCA_018200115.2	host	Homo sapiens
GCA_018200115.2	host_disease	syphilis
GCA_018200115.2	isolation_source	swab
GCA_018200115.2	lat_lon	missing
GCA_018200135.2	strain	UAB89xi
GCA_018200135.2	collected_by	NA
GCA_018200135.2	collection_date	2001
GCA_018200135.2	geo_loc_name	Madagascar
GCA_018200135.2	host	Homo sapiens
GCA_018200135.2	host_disease	syphilis
GCA_018200135.2	isolation_source	swab
GCA_018200135.2	lat_lon	missing
GCA_018200155.2	strain	UAB75
GCA_018200155.2	collected_by	NA
GCA_018200155.2	collection_date	2001
GCA_018200155.2	geo_loc_name	Madagascar
GCA_018200155.2	host	Homo sapiens
GCA_018200155.2	host_disease	syphilis
GCA_018200155.2	isolation_source	swab
GCA_018200155.2	lat_lon	missing
GCA_018200175.2	strain	UAB81xi
GCA_018200175.2	collected_by	NA
GCA_018200175.2	collection_date	2001
GCA_018200175.2	geo_loc_name	Madagascar
GCA_018200175.2	host	Homo sapiens
GCA_018200175.2	host_disease	syphilis
GCA_018200175.2	isolation_source	swab
GCA_018200175.2	lat_lon	missing
GCA_018200195.2	strain	UAB76xei
GCA_018200195.2	collected_by	NA
GCA_018200195.2	collection_date	2001
GCA_018200195.2	geo_loc_name	Madagascar
GCA_018200195.2	host	Homo sapiens
GCA_018200195.2	host_disease	syphilis
GCA_018200195.2	isolation_source	swab
GCA_018200195.2	lat_lon	missing
GCA_018200355.2	strain	UAB516xi
GCA_018200355.2	collected_by	NA
GCA_018200355.2	collection_date	2006
GCA_018200355.2	geo_loc_name	Madagascar
GCA_018200355.2	host	Homo sapiens
GCA_018200355.2	host_disease	syphilis
GCA_018200355.2	isolation_source	swab
GCA_018200355.2	lat_lon	missing
GCA_018200375.2	strain	UAB71i
GCA_018200375.2	collected_by	NA
GCA_018200375.2	collection_date	2001
GCA_018200375.2	geo_loc_name	Madagascar
GCA_018200375.2	host	Homo sapiens
GCA_018200375.2	host_disease	syphilis
GCA_018200375.2	isolation_source	swab
GCA_018200375.2	lat_lon	missing
GCA_018200445.2	strain	UAB69i
GCA_018200445.2	collected_by	NA
GCA_018200445.2	collection_date	2001
GCA_018200445.2	geo_loc_name	Madagascar
GCA_018200445.2	host	Homo sapiens
GCA_018200445.2	host_disease	syphilis
GCA_018200445.2	isolation_source	swab
GCA_018200445.2	lat_lon	missing
GCA_018200535.2	strain	UAB521xi
GCA_018200535.2	collected_by	NA
GCA_018200535.2	collection_date	2006
GCA_018200535.2	geo_loc_name	Madagascar
GCA_018200535.2	host	Homo sapiens
GCA_018200535.2	host_disease	syphilis
GCA_018200535.2	isolation_source	swab
GCA_018200535.2	lat_lon	missing
GCA_018200635.2	strain	UAB67xi
GCA_018200635.2	collected_by	NA
GCA_018200635.2	collection_date	2001
GCA_018200635.2	geo_loc_name	Madagascar
GCA_018200635.2	host	Homo sapiens
GCA_018200635.2	host_disease	syphilis
GCA_018200635.2	isolation_source	swab
GCA_018200635.2	lat_lon	missing
GCA_018200675.2	strain	Japan360x
GCA_018200675.2	collected_by	NA
GCA_018200675.2	collection_date	2020
GCA_018200675.2	geo_loc_name	Japan
GCA_018200675.2	host	Homo sapiens
GCA_018200675.2	host_disease	syphilis
GCA_018200675.2	isolation_source	swab
GCA_018200675.2	lat_lon	missing
GCA_018200795.2	strain	UAB62i
GCA_018200795.2	collected_by	NA
GCA_018200795.2	collection_date	2001
GCA_018200795.2	geo_loc_name	Madagascar
GCA_018200795.2	host	Homo sapiens
GCA_018200795.2	host_disease	syphilis
GCA_018200795.2	isolation_source	swab
GCA_018200795.2	lat_lon	missing
GCA_018200875.2	strain	UAB61xei
GCA_018200875.2	collected_by	NA
GCA_018200875.2	collection_date	2001
GCA_018200875.2	geo_loc_name	Madagascar
GCA_018200875.2	host	Homo sapiens
GCA_018200875.2	host_disease	syphilis
GCA_018200875.2	isolation_source	swab
GCA_018200875.2	lat_lon	missing
GCA_018200935.2	strain	UAB60i
GCA_018200935.2	collected_by	NA
GCA_018200935.2	collection_date	2001
GCA_018200935.2	geo_loc_name	Madagascar
GCA_018200935.2	host	Homo sapiens
GCA_018200935.2	host_disease	syphilis
GCA_018200935.2	isolation_source	swab
GCA_018200935.2	lat_lon	missing
GCA_018200975.2	strain	UAB554xi
GCA_018200975.2	collected_by	NA
GCA_018200975.2	collection_date	2007
GCA_018200975.2	geo_loc_name	Madagascar
GCA_018200975.2	host	Homo sapiens
GCA_018200975.2	host_disease	syphilis
GCA_018200975.2	isolation_source	swab
GCA_018200975.2	lat_lon	missing
GCA_018201115.2	strain	UAB552x
GCA_018201115.2	collected_by	NA
GCA_018201115.2	collection_date	2007
GCA_018201115.2	geo_loc_name	Madagascar
GCA_018201115.2	host	Homo sapiens
GCA_018201115.2	host_disease	syphilis
GCA_018201115.2	isolation_source	swab
GCA_018201115.2	lat_lon	missing
GCA_018201195.2	strain	UAB553xei
GCA_018201195.2	collected_by	NA
GCA_018201195.2	collection_date	2007
GCA_018201195.2	geo_loc_name	Madagascar
GCA_018201195.2	host	Homo sapiens
GCA_018201195.2	host_disease	syphilis
GCA_018201195.2	isolation_source	swab
GCA_018201195.2	lat_lon	missing
GCA_018201215.2	strain	UAB218i
GCA_018201215.2	collected_by	NA
GCA_018201215.2	collection_date	2003
GCA_018201215.2	geo_loc_name	Madagascar
GCA_018201215.2	host	Homo sapiens
GCA_018201215.2	host_disease	syphilis
GCA_018201215.2	isolation_source	swab
GCA_018201215.2	lat_lon	missing
GCA_018201235.2	strain	UAB237
GCA_018201235.2	collected_by	NA
GCA_018201235.2	collection_date	2003
GCA_018201235.2	geo_loc_name	Madagascar
GCA_018201235.2	host	Homo sapiens
GCA_018201235.2	host_disease	syphilis
GCA_018201235.2	isolation_source	swab
GCA_018201235.2	lat_lon	missing
GCA_018201255.2	strain	UAB231i
GCA_018201255.2	collected_by	NA
GCA_018201255.2	collection_date	2003
GCA_018201255.2	geo_loc_name	Madagascar
GCA_018201255.2	host	Homo sapiens
GCA_018201255.2	host_disease	syphilis
GCA_018201255.2	isolation_source	swab
GCA_018201255.2	lat_lon	missing
GCA_018201275.2	strain	UAB229xe
GCA_018201275.2	collected_by	NA
GCA_018201275.2	collection_date	2003
GCA_018201275.2	geo_loc_name	Madagascar
GCA_018201275.2	host	Homo sapiens
GCA_018201275.2	host_disease	syphilis
GCA_018201275.2	isolation_source	swab
GCA_018201275.2	lat_lon	missing
GCA_018201295.2	strain	UAB551xi
GCA_018201295.2	collected_by	NA
GCA_018201295.2	collection_date	2007
GCA_018201295.2	geo_loc_name	Madagascar
GCA_018201295.2	host	Homo sapiens
GCA_018201295.2	host_disease	syphilis
GCA_018201295.2	isolation_source	swab
GCA_018201295.2	lat_lon	missing
GCA_018201315.2	strain	UAB54xi
GCA_018201315.2	collected_by	NA
GCA_018201315.2	collection_date	2001
GCA_018201315.2	geo_loc_name	Madagascar
GCA_018201315.2	host	Homo sapiens
GCA_018201315.2	host_disease	syphilis
GCA_018201315.2	isolation_source	swab
GCA_018201315.2	lat_lon	missing
GCA_018201335.2	strain	UAB549xe
GCA_018201335.2	collected_by	NA
GCA_018201335.2	collection_date	2007
GCA_018201335.2	geo_loc_name	Madagascar
GCA_018201335.2	host	Homo sapiens
GCA_018201335.2	host_disease	syphilis
GCA_018201335.2	isolation_source	swab
GCA_018201335.2	lat_lon	missing
GCA_018201355.2	strain	UAB546i
GCA_018201355.2	collected_by	NA
GCA_018201355.2	collection_date	2007
GCA_018201355.2	geo_loc_name	Madagascar
GCA_018201355.2	host	Homo sapiens
GCA_018201355.2	host_disease	syphilis
GCA_018201355.2	isolation_source	swab
GCA_018201355.2	lat_lon	missing
GCA_018201375.2	strain	UAB547xei
GCA_018201375.2	collected_by	NA
GCA_018201375.2	collection_date	2007
GCA_018201375.2	geo_loc_name	Madagascar
GCA_018201375.2	host	Homo sapiens
GCA_018201375.2	host_disease	syphilis
GCA_018201375.2	isolation_source	swab
GCA_018201375.2	lat_lon	missing
GCA_018201395.2	strain	UAB538xi
GCA_018201395.2	collected_by	NA
GCA_018201395.2	collection_date	2007
GCA_018201395.2	geo_loc_name	Madagascar
GCA_018201395.2	host	Homo sapiens
GCA_018201395.2	host_disease	syphilis
GCA_018201395.2	isolation_source	swab
GCA_018201395.2	lat_lon	missing
GCA_018201475.2	strain	UAB236i
GCA_018201475.2	collected_by	NA
GCA_018201475.2	collection_date	2003
GCA_018201475.2	geo_loc_name	Madagascar
GCA_018201475.2	host	Homo sapiens
GCA_018201475.2	host_disease	syphilis
GCA_018201475.2	isolation_source	swab
GCA_018201475.2	lat_lon	missing
GCA_018201615.2	strain	UAB545ei
GCA_018201615.2	collected_by	NA
GCA_018201615.2	collection_date	2006
GCA_018201615.2	geo_loc_name	Madagascar
GCA_018201615.2	host	Homo sapiens
GCA_018201615.2	host_disease	syphilis
GCA_018201615.2	isolation_source	swab
GCA_018201615.2	lat_lon	missing
GCA_018201755.2	strain	UAB534xi
GCA_018201755.2	collected_by	NA
GCA_018201755.2	collection_date	2006
GCA_018201755.2	geo_loc_name	Madagascar
GCA_018201755.2	host	Homo sapiens
GCA_018201755.2	host_disease	syphilis
GCA_018201755.2	isolation_source	swab
GCA_018201755.2	lat_lon	missing
GCA_018201795.2	strain	UAB535i
GCA_018201795.2	collected_by	NA
GCA_018201795.2	collection_date	2006
GCA_018201795.2	geo_loc_name	Madagascar
GCA_018201795.2	host	Homo sapiens
GCA_018201795.2	host_disease	syphilis
GCA_018201795.2	isolation_source	swab
GCA_018201795.2	lat_lon	missing
GCA_018201895.2	strain	PeruC40020xe
GCA_018201895.2	collected_by	NA
GCA_018201895.2	collection_date	2019
GCA_018201895.2	geo_loc_name	Peru
GCA_018201895.2	host	Homo sapiens
GCA_018201895.2	host_disease	syphilis
GCA_018201895.2	isolation_source	swab
GCA_018201895.2	lat_lon	missing
GCA_018201915.2	strain	PeruB20010x
GCA_018201915.2	collected_by	NA
GCA_018201915.2	collection_date	2019
GCA_018201915.2	geo_loc_name	Peru
GCA_018201915.2	host	Homo sapiens
GCA_018201915.2	host_disease	syphilis
GCA_018201915.2	isolation_source	swab
GCA_018201915.2	lat_lon	missing
GCA_018202035.2	strain	UAB531i
GCA_018202035.2	collected_by	NA
GCA_018202035.2	collection_date	2006
GCA_018202035.2	geo_loc_name	Madagascar
GCA_018202035.2	host	Homo sapiens
GCA_018202035.2	host_disease	syphilis
GCA_018202035.2	isolation_source	swab
GCA_018202035.2	lat_lon	missing
GCA_018202155.2	strain	UAB533i
GCA_018202155.2	collected_by	NA
GCA_018202155.2	collection_date	2006
GCA_018202155.2	geo_loc_name	Madagascar
GCA_018202155.2	host	Homo sapiens
GCA_018202155.2	host_disease	syphilis
GCA_018202155.2	isolation_source	swab
GCA_018202155.2	lat_lon	missing
GCA_018202175.2	strain	UAB532xi
GCA_018202175.2	collected_by	NA
GCA_018202175.2	collection_date	2006
GCA_018202175.2	geo_loc_name	Madagascar
GCA_018202175.2	host	Homo sapiens
GCA_018202175.2	host_disease	syphilis
GCA_018202175.2	isolation_source	swab
GCA_018202175.2	lat_lon	missing
GCA_018202195.2	strain	UAB530i
GCA_018202195.2	collected_by	NA
GCA_018202195.2	collection_date	2006
GCA_018202195.2	geo_loc_name	Madagascar
GCA_018202195.2	host	Homo sapiens
GCA_018202195.2	host_disease	syphilis
GCA_018202195.2	isolation_source	swab
GCA_018202195.2	lat_lon	missing
GCA_018202215.2	strain	PeruC10050xe
GCA_018202215.2	collected_by	NA
GCA_018202215.2	collection_date	2019
GCA_018202215.2	geo_loc_name	Peru
GCA_018202215.2	host	Homo sapiens
GCA_018202215.2	host_disease	syphilis
GCA_018202215.2	isolation_source	swab
GCA_018202215.2	lat_lon	missing
GCA_018202235.3	strain	UAB52xi
GCA_018202235.3	collected_by	NA
GCA_018202235.3	collection_date	2001
GCA_018202235.3	geo_loc_name	Madagascar
GCA_018202235.3	host	Homo sapiens
GCA_018202235.3	host_disease	syphilis
GCA_018202235.3	isolation_source	swab
GCA_018202235.3	lat_lon	missing
GCA_018202255.2	strain	Japan356
GCA_018202255.2	collected_by	NA
GCA_018202255.2	collection_date	2019
GCA_018202255.2	geo_loc_name	Japan
GCA_018202255.2	host	Homo sapiens
GCA_018202255.2	host_disease	syphilis
GCA_018202255.2	isolation_source	swab
GCA_018202255.2	lat_lon	missing
GCA_018202275.2	strain	UAB529i
GCA_018202275.2	collected_by	NA
GCA_018202275.2	collection_date	2006
GCA_018202275.2	geo_loc_name	Madagascar
GCA_018202275.2	host	Homo sapiens
GCA_018202275.2	host_disease	syphilis
GCA_018202275.2	isolation_source	swab
GCA_018202275.2	lat_lon	missing
GCA_018202295.2	strain	UAB526xi
GCA_018202295.2	collected_by	NA
GCA_018202295.2	collection_date	2006
GCA_018202295.2	geo_loc_name	Madagascar
GCA_018202295.2	host	Homo sapiens
GCA_018202295.2	host_disease	syphilis
GCA_018202295.2	isolation_source	swab
GCA_018202295.2	lat_lon	missing
GCA_018202315.2	strain	Japan357
GCA_018202315.2	collected_by	NA
GCA_018202315.2	collection_date	2019
GCA_018202315.2	geo_loc_name	Japan
GCA_018202315.2	host	Homo sapiens
GCA_018202315.2	host_disease	syphilis
GCA_018202315.2	isolation_source	swab
GCA_018202315.2	lat_lon	missing
GCA_018202515.2	strain	UAB525xe
GCA_018202515.2	collected_by	NA
GCA_018202515.2	collection_date	2006
GCA_018202515.2	geo_loc_name	Madagascar
GCA_018202515.2	host	Homo sapiens
GCA_018202515.2	host_disease	syphilis
GCA_018202515.2	isolation_source	swab
GCA_018202515.2	lat_lon	missing
GCA_018202535.2	strain	Japan361
GCA_018202535.2	collected_by	NA
GCA_018202535.2	collection_date	2020
GCA_018202535.2	geo_loc_name	Japan
GCA_018202535.2	host	Homo sapiens
GCA_018202535.2	host_disease	syphilis
GCA_018202535.2	isolation_source	swab
GCA_018202535.2	lat_lon	missing
GCA_018202555.2	strain	UAB512x
GCA_018202555.2	collected_by	NA
GCA_018202555.2	collection_date	2006
GCA_018202555.2	geo_loc_name	Madagascar
GCA_018202555.2	host	Homo sapiens
GCA_018202555.2	host_disease	syphilis
GCA_018202555.2	isolation_source	swab
GCA_018202555.2	lat_lon	missing
GCA_018202575.2	strain	Japan358
GCA_018202575.2	collected_by	NA
GCA_018202575.2	collection_date	2020
GCA_018202575.2	geo_loc_name	Japan
GCA_018202575.2	host	Homo sapiens
GCA_018202575.2	host_disease	syphilis
GCA_018202575.2	isolation_source	swab
GCA_018202575.2	lat_lon	missing
GCA_018202595.2	strain	UAB509ei
GCA_018202595.2	collected_by	NA
GCA_018202595.2	collection_date	2006
GCA_018202595.2	geo_loc_name	Madagascar
GCA_018202595.2	host	Homo sapiens
GCA_018202595.2	host_disease	syphilis
GCA_018202595.2	isolation_source	swab
GCA_018202595.2	lat_lon	missing
GCA_018202615.2	strain	UAB511xi
GCA_018202615.2	collected_by	NA
GCA_018202615.2	collection_date	2006
GCA_018202615.2	geo_loc_name	Madagascar
GCA_018202615.2	host	Homo sapiens
GCA_018202615.2	host_disease	syphilis
GCA_018202615.2	isolation_source	swab
GCA_018202615.2	lat_lon	missing
GCA_018202635.2	strain	China11
GCA_018202635.2	collected_by	NA
GCA_018202635.2	collection_date	2018
GCA_018202635.2	geo_loc_name	China
GCA_018202635.2	host	Homo sapiens
GCA_018202635.2	host_disease	syphilis
GCA_018202635.2	isolation_source	swab
GCA_018202635.2	lat_lon	missing
GCA_018202655.2	strain	UAB510i
GCA_018202655.2	collected_by	NA
GCA_018202655.2	collection_date	2006
GCA_018202655.2	geo_loc_name	Madagascar
GCA_018202655.2	host	Homo sapiens
GCA_018202655.2	host_disease	syphilis
GCA_018202655.2	isolation_source	swab
GCA_018202655.2	lat_lon	missing
GCA_018202675.2	strain	UAB508
GCA_018202675.2	collected_by	NA
GCA_018202675.2	collection_date	2006
GCA_018202675.2	geo_loc_name	Madagascar
GCA_018202675.2	host	Homo sapiens
GCA_018202675.2	host_disease	syphilis
GCA_018202675.2	isolation_source	swab
GCA_018202675.2	lat_lon	missing
GCA_018202695.2	strain	Japan319
GCA_018202695.2	collected_by	NA
GCA_018202695.2	collection_date	2019
GCA_018202695.2	geo_loc_name	Japan
GCA_018202695.2	host	Homo sapiens
GCA_018202695.2	host_disease	syphilis
GCA_018202695.2	isolation_source	swab
GCA_018202695.2	lat_lon	missing
GCA_018202715.2	strain	UAB507ei
GCA_018202715.2	collected_by	NA
GCA_018202715.2	collection_date	2006
GCA_018202715.2	geo_loc_name	Madagascar
GCA_018202715.2	host	Homo sapiens
GCA_018202715.2	host_disease	syphilis
GCA_018202715.2	isolation_source	swab
GCA_018202715.2	lat_lon	missing
GCA_018202735.2	strain	UAB505ei
GCA_018202735.2	collected_by	NA
GCA_018202735.2	collection_date	2006
GCA_018202735.2	geo_loc_name	Madagascar
GCA_018202735.2	host	Homo sapiens
GCA_018202735.2	host_disease	syphilis
GCA_018202735.2	isolation_source	swab
GCA_018202735.2	lat_lon	missing
GCA_018202755.2	strain	Japan317xi
GCA_018202755.2	collected_by	NA
GCA_018202755.2	collection_date	2019
GCA_018202755.2	geo_loc_name	Japan
GCA_018202755.2	host	Homo sapiens
GCA_018202755.2	host_disease	syphilis
GCA_018202755.2	isolation_source	swab
GCA_018202755.2	lat_lon	missing
GCA_018202775.2	strain	UAB504xi
GCA_018202775.2	collected_by	NA
GCA_018202775.2	collection_date	2006
GCA_018202775.2	geo_loc_name	Madagascar
GCA_018202775.2	host	Homo sapiens
GCA_018202775.2	host_disease	syphilis
GCA_018202775.2	isolation_source	swab
GCA_018202775.2	lat_lon	missing
GCA_018202795.2	strain	UAB503i
GCA_018202795.2	collected_by	NA
GCA_018202795.2	collection_date	2006
GCA_018202795.2	geo_loc_name	Madagascar
GCA_018202795.2	host	Homo sapiens
GCA_018202795.2	host_disease	syphilis
GCA_018202795.2	isolation_source	swab
GCA_018202795.2	lat_lon	missing
GCA_018202815.2	strain	UAB501
GCA_018202815.2	collected_by	NA
GCA_018202815.2	collection_date	2003
GCA_018202815.2	geo_loc_name	Madagascar
GCA_018202815.2	host	Homo sapiens
GCA_018202815.2	host_disease	syphilis
GCA_018202815.2	isolation_source	swab
GCA_018202815.2	lat_lon	missing
GCA_018202835.2	strain	UAB49xi
GCA_018202835.2	collected_by	NA
GCA_018202835.2	collection_date	2000
GCA_018202835.2	geo_loc_name	Madagascar
GCA_018202835.2	host	Homo sapiens
GCA_018202835.2	host_disease	syphilis
GCA_018202835.2	isolation_source	swab
GCA_018202835.2	lat_lon	missing
GCA_018202855.2	strain	UAB46xei
GCA_018202855.2	collected_by	NA
GCA_018202855.2	collection_date	2000
GCA_018202855.2	geo_loc_name	Madagascar
GCA_018202855.2	host	Homo sapiens
GCA_018202855.2	host_disease	syphilis
