ProteinID	Name	Organism
WP_014342420	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881852	MBL fold metallo-hydrolase [Treponema pallidum]	Treponema pallidum
WP_042491875	MULTISPECIES: tetratricopeptide repeat protein [Treponema]	Treponema
WP_237249930	Gx transporter family protein [Treponema pallidum]	Treponema pallidum
WP_014342271	DUF5312 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010882248	DHH family phosphoesterase [Treponema pallidum]	Treponema pallidum
WP_012460541	ATP-binding protein [Treponema pallidum]	Treponema pallidum
WP_010881561	C1 family peptidase [Treponema pallidum]	Treponema pallidum
WP_010881697	flagellar filament outer layer protein FlaA [Treponema pallidum]	Treponema pallidum
WP_010881454	DUF721 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342231	DUF3798 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342438	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881985	phosphoglycerate kinase [Treponema pallidum]	Treponema pallidum
WP_014505469	DUF2715 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_012460608	dienelactone hydrolase family protein [Treponema pallidum]	Treponema pallidum
WP_014505399	extracellular solute-binding protein [Treponema pallidum]	Treponema pallidum
WP_014342461	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881999	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_012460608	dienelactone hydrolase family protein [Treponema pallidum]	Treponema pallidum
WP_245522172	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881533	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342481	HAD family hydrolase [Treponema pallidum]	Treponema pallidum
WP_235214115	histidine kinase dimerization/phospho-acceptor domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881473	potassium channel family protein [Treponema pallidum]	Treponema pallidum
WP_235214062	CNNM domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881567	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342306	M23 family metallopeptidase [Treponema pallidum]	Treponema pallidum
WP_014342691	DUF2259 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881475	flagellar motor switch protein FliG [Treponema pallidum]	Treponema pallidum
WP_014342235	hemolysin family protein [Treponema pallidum]	Treponema pallidum
WP_014342340	apolipoprotein N-acyltransferase [Treponema pallidum]	Treponema pallidum
WP_039487409	DUF4340 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342492	penicillin-binding Tp47 domain A-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881702	MULTISPECIES: bactofilin family protein [Treponema]	Treponema
WP_012460602	HD-GYP domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342429	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010882353	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342366	major outer sheath N-terminal domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342343	SH3 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342292	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_013944778	tetratricopeptide repeat protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_167315811	MSP porin [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_010881577	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881816	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881694	vWA domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342544	DUF2715 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881538	Crp/Fnr family transcriptional regulator [Treponema pallidum]	Treponema pallidum
WP_013945579	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_014342668	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881471	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_013945085	hypothetical protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_049774996	DUF302 domain-containing protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_014342618	UPF0164 family protein [Treponema pallidum]	Treponema pallidum
WP_237249926	signal peptidase I [Treponema pallidum]	Treponema pallidum
WP_014342229	DUF3798 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010882145	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_014342282	DUF2715 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010882476	MULTISPECIES: NusG domain II-containing protein [Treponema]	Treponema
WP_010881888	DegT/DnrJ/EryC1/StrS family aminotransferase [Treponema pallidum]	Treponema pallidum
WP_013944778	tetratricopeptide repeat protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_172841376	DUF2715 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342367	major outer sheath N-terminal domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_172841369	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_235214031	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342578	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_013945194	DUF1007 family protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_013945076	hypothetical protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_245522161	hypothetical protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_010881668	STAS domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342571	Na/Pi cotransporter family protein [Treponema pallidum]	Treponema pallidum
WP_010881595	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_014342545	DUF2715 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881513	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_237249931	pentapeptide repeat-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881497	MULTISPECIES: bactofilin family protein [Treponema]	Treponema
WP_010881787	RluA family pseudouridine synthase [Treponema pallidum]	Treponema pallidum
WP_012460531	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881879	type III pantothenate kinase [Treponema pallidum]	Treponema pallidum
WP_013945438	hypothetical protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_010882384	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_014342603	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881586	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881537	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342606	Do family serine endopeptidase [Treponema pallidum]	Treponema pallidum
WP_010882391	RNA-binding cell elongation regulator Jag/EloR [Treponema pallidum]	Treponema pallidum
WP_014342438	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881903	response regulator [Treponema pallidum]	Treponema pallidum
WP_010881902	TP0453 family outer membrane protein [Treponema pallidum]	Treponema pallidum
WP_010882124	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_014342237	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881978	ATPase [Treponema pallidum]	Treponema pallidum
WP_013945170	MULTISPECIES: ATP synthase subunit C [Treponema]	Treponema
WP_010882473	DbpA RNA binding domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881521	MULTISPECIES: glutaredoxin domain-containing protein [Treponema]	Treponema
WP_010882010	J domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342352	16S rRNA (uracil(1498)-N(3))-methyltransferase [Treponema pallidum]	Treponema pallidum
WP_175607978	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010882447	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_012460529	STAS domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010882436	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_144011660	DUF2715 domain-containing protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_014342396	chromosome segregation SMC family protein [Treponema pallidum]	Treponema pallidum
WP_010881470	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010882152	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_172841380	tetratricopeptide repeat protein [Treponema pallidum]	Treponema pallidum
WP_013945005	transcription-repair coupling factor [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_014342364	major outer sheath N-terminal domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010882370	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342690	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010882317	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_010881776	DNA mismatch repair protein MutS [Treponema pallidum]	Treponema pallidum
WP_014505399	extracellular solute-binding protein [Treponema pallidum]	Treponema pallidum
WP_014342317	coproporphyrinogen-III oxidase family protein [Treponema pallidum]	Treponema pallidum
WP_172841375	biotin transporter BioY [Treponema pallidum]	Treponema pallidum
WP_010881751	ABC transporter permease [Treponema pallidum]	Treponema pallidum
WP_010881776	DNA mismatch repair protein MutS [Treponema pallidum]	Treponema pallidum
WP_013945165	helicase-related protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_013945527	hypothetical protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_013944949	WecB/TagA/CpsF family glycosyltransferase [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_014342565	6-hydroxymethylpterin diphosphokinase MptE-like protein [Treponema pallidum]	Treponema pallidum
WP_237249910	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_010882407	ABC transporter permease [Treponema pallidum]	Treponema pallidum
WP_010882005	nickel/cobalt transporter [Treponema pallidum]	Treponema pallidum
WP_010881771	ABC transporter permease [Treponema pallidum]	Treponema pallidum
WP_013945018	MULTISPECIES: biotin--[acetyl-CoA-carboxylase] ligase [Treponema]	Treponema
WP_010881897	tetratricopeptide repeat protein [Treponema pallidum]	Treponema pallidum
WP_013945226	M15 family metallopeptidase [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_010882078	MULTISPECIES: tryptophan--tRNA ligase [Treponema]	Treponema
WP_010882268	1-deoxy-D-xylulose-5-phosphate synthase [Treponema pallidum]	Treponema pallidum
WP_010881776	DNA mismatch repair protein MutS [Treponema pallidum]	Treponema pallidum
WP_014342578	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_013944852	SLBB domain-containing protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_014342703	valine--tRNA ligase [Treponema pallidum]	Treponema pallidum
WP_010881776	DNA mismatch repair protein MutS [Treponema pallidum]	Treponema pallidum
WP_010881607	proline--tRNA ligase [Treponema pallidum]	Treponema pallidum
WP_024752546	hypothetical protein [Treponema phagedenis]	Treponema phagedenis
WP_010882048	MULTISPECIES: phosphatidate cytidylyltransferase [Treponema]	Treponema
WP_010882268	1-deoxy-D-xylulose-5-phosphate synthase [Treponema pallidum]	Treponema pallidum
WP_010881934	adenylate/guanylate cyclase domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342683	periplasmic flagellar collar protein FlcA [Treponema pallidum]	Treponema pallidum
WP_014342494	phosphoenolpyruvate--protein phosphotransferase [Treponema pallidum]	Treponema pallidum
WP_014342448	P83/100 family protein [Treponema pallidum]	Treponema pallidum
WP_013945451	flagellar filament capping protein FliD [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_014342646	helix-hairpin-helix domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_013945319	MULTISPECIES: flagellar biosynthesis protein FlhB [Treponema]	Treponema
WP_237260077	TrkH family potassium uptake protein [Treponema pallidum]	Treponema pallidum
WP_010882353	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342292	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342368	membrane lipoprotein TmpC [Treponema pallidum]	Treponema pallidum
WP_014342287	major outer sheath N-terminal domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342646	helix-hairpin-helix domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342578	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881638	MULTISPECIES: 50S ribosomal protein L23 [Treponema]	Treponema
WP_010882122	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881605	pyrimidine 5'-nucleotidase [Treponema pallidum]	Treponema pallidum
WP_013944977	DUF368 domain-containing protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_010881662	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_010881605	pyrimidine 5'-nucleotidase [Treponema pallidum]	Treponema pallidum
WP_014342262	putative glycoside hydrolase [Treponema pallidum]	Treponema pallidum
WP_237249911	LptA/OstA family protein [Treponema pallidum]	Treponema pallidum
WP_010882229	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_235214032	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014505457	ABC transporter substrate-binding protein [Treponema pallidum]	Treponema pallidum
WP_010881871	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342646	helix-hairpin-helix domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_172841372	tetratricopeptide repeat protein [Treponema pallidum]	Treponema pallidum
WP_010881909	tetratricopeptide repeat protein [Treponema pallidum]	Treponema pallidum
WP_010882217	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_235214103	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342623	UPF0164 family protein [Treponema pallidum]	Treponema pallidum
WP_010882138	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010882387	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_016484223	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342348	tetratricopeptide repeat protein [Treponema pallidum]	Treponema pallidum
WP_014342300	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342495	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_013945537	TatD family hydrolase [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_024752546	hypothetical protein [Treponema phagedenis]	Treponema phagedenis
WP_010881786	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342683	periplasmic flagellar collar protein FlcA [Treponema pallidum]	Treponema pallidum
WP_010882385	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_010882382	pyruvate:ferredoxin (flavodoxin) oxidoreductase [Treponema pallidum]	Treponema pallidum
WP_010882279	ankyrin repeat domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_012460591	efflux RND transporter permease subunit [Treponema pallidum]	Treponema pallidum
WP_010882318	MULTISPECIES: tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE [Treponema]	Treponema
WP_014342615	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342264	DUF192 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010882357	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_014342255	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342432	double zinc ribbon domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342433	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_235214036	GNAT family N-acetyltransferase [Treponema pallidum]	Treponema pallidum
WP_010882187	Obg family GTPase CgtA [Treponema pallidum]	Treponema pallidum
WP_010881575	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010882472	ATP-dependent helicase [Treponema pallidum]	Treponema pallidum
WP_010882283	DUF4097 family beta strand repeat-containing protein [Treponema pallidum]	Treponema pallidum
WP_013945202	hypothetical protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_014342487	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_235214048	6-hydroxymethylpterin diphosphokinase MptE-like protein [Treponema pallidum]	Treponema pallidum
WP_010881939	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_013945021	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_014505473	1,4-alpha-glucan branching protein domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_175607978	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342256	HDOD domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_235214060	vWA domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_235214007	TPM domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881982	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010882155	FapA family protein [Treponema pallidum]	Treponema pallidum
WP_010882195	vWA domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_237260056	SPOR domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342565	6-hydroxymethylpterin diphosphokinase MptE-like protein [Treponema pallidum]	Treponema pallidum
WP_010881915	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881630	TP0183 family DNA metabolism protein [Treponema pallidum]	Treponema pallidum
WP_010881606	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_010882316	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342477	UPF0164 family protein [Treponema pallidum]	Treponema pallidum
WP_014342241	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010882238	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881663	nucleotide exchange factor GrpE [Treponema pallidum]	Treponema pallidum
WP_014342227	DNA topoisomerase (ATP-hydrolyzing) subunit A [Treponema pallidum]	Treponema pallidum
WP_010882450	DNA topoisomerase (ATP-hydrolyzing) subunit B [Treponema pallidum]	Treponema pallidum
WP_014342640	HD-GYP domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014505642	HEAT repeat domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342317	coproporphyrinogen-III oxidase family protein [Treponema pallidum]	Treponema pallidum
WP_010881563	MULTISPECIES: protease modulator HflC [Treponema]	Treponema
WP_013944820	MULTISPECIES: FtsH protease activity modulator HflK [Treponema]	Treponema
WP_244857657	transporter substrate-binding domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010882086	histidine--tRNA ligase [Treponema pallidum]	Treponema pallidum
WP_010881775	OmpH family outer membrane protein [Treponema pallidum]	Treponema pallidum
WP_014342499	DNA polymerase III subunit delta [Treponema pallidum]	Treponema pallidum
WP_013945224	MULTISPECIES: HPr(Ser) kinase/phosphatase [Treponema]	Treponema
WP_010881499	phosphoribosyltransferase [Treponema pallidum]	Treponema pallidum
WP_010881974	helicase-related protein [Treponema pallidum]	Treponema pallidum
WP_014342677	molecular chaperone HtpG [Treponema pallidum]	Treponema pallidum
WP_010881700	HU family DNA-binding protein [Treponema pallidum]	Treponema pallidum
WP_010881954	hexokinase family protein [Treponema pallidum]	Treponema pallidum
WP_014342431	isoleucine--tRNA ligase [Treponema pallidum]	Treponema pallidum
WP_010881546	MULTISPECIES: translation initiation factor IF-1 [Treponema]	Treponema
WP_010882334	translation initiation factor IF-2 [Treponema pallidum]	Treponema pallidum
WP_010882294	translation initiation factor IF-3 [Treponema pallidum]	Treponema pallidum
WP_010882128	MULTISPECIES: polyprenyl synthetase family protein [Treponema]	Treponema
WP_014342400	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Treponema pallidum]	Treponema pallidum
WP_014342459	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Treponema pallidum]	Treponema pallidum
WP_172841382	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [Treponema pallidum]	Treponema pallidum
WP_014342475	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Treponema pallidum]	Treponema pallidum
WP_010882391	RNA-binding cell elongation regulator Jag/EloR [Treponema pallidum]	Treponema pallidum
WP_010882349	MULTISPECIES: KH domain-containing protein [Treponema]	Treponema
WP_010882337	NYN domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881896	uracil phosphoribosyltransferase [Treponema pallidum]	Treponema pallidum
WP_014342401	tetratricopeptide repeat protein [Treponema pallidum]	Treponema pallidum
WP_010882134	ribosome biogenesis GTPase Der [Treponema pallidum]	Treponema pallidum
WP_014342328	M15 family metallopeptidase [Treponema pallidum]	Treponema pallidum
WP_010881486	D-2-hydroxyacid dehydrogenase [Treponema pallidum]	Treponema pallidum
WP_010882018	LemA family protein [Treponema pallidum]	Treponema pallidum
WP_014342457	translation elongation factor 4 [Treponema pallidum]	Treponema pallidum
WP_254867767	signal peptidase I [Treponema pallidum]	Treponema pallidum
WP_013945222	leucine--tRNA ligase [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_014342613	prolipoprotein diacylglyceryl transferase [Treponema pallidum]	Treponema pallidum
WP_080566296	phosphotransferase [Treponema pallidum]	Treponema pallidum
WP_010882080	NAD-dependent DNA ligase LigA [Treponema pallidum]	Treponema pallidum
WP_010881740	MULTISPECIES: alpha-hydroxy-acid oxidizing protein [Treponema]	Treponema
WP_014342416	apolipoprotein N-acyltransferase [Treponema pallidum]	Treponema pallidum
WP_010881781	LolA family protein [Treponema pallidum]	Treponema pallidum
WP_010882408	MULTISPECIES: ABC transporter ATP-binding protein [Treponema]	Treponema
WP_010882028	ABC transporter permease [Treponema pallidum]	Treponema pallidum
WP_014342232	Lon protease family protein [Treponema pallidum]	Treponema pallidum
WP_010881972	endopeptidase La [Treponema pallidum]	Treponema pallidum
WP_010882231	LPS export ABC transporter ATP-binding protein [Treponema pallidum]	Treponema pallidum
WP_014342460	LPS-assembly protein LptD [Treponema pallidum]	Treponema pallidum
WP_013945460	MULTISPECIES: LptF/LptG family permease [Treponema]	Treponema
WP_012460612	signal peptidase II [Treponema pallidum]	Treponema pallidum
WP_010882089	lysine--tRNA ligase [Treponema pallidum]	Treponema pallidum
WP_010881861	phosphoglucomutase [Treponema pallidum]	Treponema pallidum
WP_010882286	type I methionyl aminopeptidase [Treponema pallidum]	Treponema pallidum
WP_014342681	MarC family protein [Treponema pallidum]	Treponema pallidum
WP_014342556	sulfide/dihydroorotate dehydrogenase-like FAD/NAD-binding protein [Treponema pallidum]	Treponema pallidum
WP_075743341	AMP-binding protein [Treponema pallidum]	Treponema pallidum
WP_010882243	methionine--tRNA ligase [Treponema pallidum]	Treponema pallidum
WP_010882239	MULTISPECIES: methionine adenosyltransferase [Treponema]	Treponema
WP_010881568	MULTISPECIES: methionine ABC transporter permease [Treponema]	Treponema
WP_014342378	transcription-repair coupling factor [Treponema pallidum]	Treponema pallidum
WP_014342539	sugar ABC transporter ATP-binding protein [Treponema pallidum]	Treponema pallidum
WP_014342538	substrate-binding domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010882131	galactoside ABC transporter permease [Treponema pallidum]	Treponema pallidum
WP_013945485	MULTISPECIES: magnesium transporter [Treponema]	Treponema
WP_010882082	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA [Treponema pallidum]	Treponema pallidum
WP_010882199	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB [Treponema pallidum]	Treponema pallidum
WP_014342243	flagellar assembly lytic transglycosylase [Treponema pallidum]	Treponema pallidum
WP_237249935	endolytic transglycosylase MltG [Treponema pallidum]	Treponema pallidum
WP_245522162	hypothetical protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_012460591	efflux RND transporter permease subunit [Treponema pallidum]	Treponema pallidum
WP_014342480	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE [Treponema pallidum]	Treponema pallidum
WP_010881493	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG [Treponema pallidum]	Treponema pallidum
WP_013944862	MULTISPECIES: transition metal ABC transporter ATP-binding protein TroB [Treponema]	Treponema
WP_010882170	MULTISPECIES: motility protein A [Treponema]	Treponema
WP_010882169	flagellar motor protein MotB [Treponema pallidum]	Treponema pallidum
WP_013945205	MULTISPECIES: periplasmic-type flagellar collar protein FlbB [Treponema]	Treponema
WP_010882094	MULTISPECIES: hemolysin family protein [Treponema]	Treponema
WP_010881793	phospho-N-acetylmuramoyl-pentapeptide-transferase [Treponema pallidum]	Treponema pallidum
WP_013945042	MULTISPECIES: division/cell wall cluster transcriptional repressor MraZ [Treponema]	Treponema
WP_010882150	penicillin-binding protein 1A [Treponema pallidum]	Treponema pallidum
WP_010881949	penicillin-binding protein 2 [Treponema pallidum]	Treponema pallidum
WP_010881946	rod shape-determining protein [Treponema pallidum]	Treponema pallidum
WP_010881947	rod shape-determining protein MreC [Treponema pallidum]	Treponema pallidum
WP_010881949	penicillin-binding protein 2 [Treponema pallidum]	Treponema pallidum
WP_245522109	mechanosensitive ion channel family protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_014342515	bifunctional methionine sulfoxide reductase B/A protein [Treponema pallidum]	Treponema pallidum
WP_014342349	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB [Treponema pallidum]	Treponema pallidum
WP_010881617	5'-methylthioadenosine/adenosylhomocysteine nucleosidase [Treponema pallidum]	Treponema pallidum
WP_039487502	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Treponema pallidum]	Treponema pallidum
WP_014342265	UDP-N-acetylmuramate dehydrogenase [Treponema pallidum]	Treponema pallidum
WP_014342377	UDP-N-acetylmuramate--L-alanine ligase [Treponema pallidum]	Treponema pallidum
WP_014342636	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase [Treponema pallidum]	Treponema pallidum
WP_010882376	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [Treponema pallidum]	Treponema pallidum
WP_010881834	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [Treponema pallidum]	Treponema pallidum
WP_010881971	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase [Treponema pallidum]	Treponema pallidum
WP_235214098	glutamate racemase [Treponema pallidum]	Treponema pallidum
WP_010881965	murein biosynthesis integral membrane protein MurJ [Treponema pallidum]	Treponema pallidum
WP_010882222	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_014342360	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881776	DNA mismatch repair protein MutS [Treponema pallidum]	Treponema pallidum
WP_010881791	A/G-specific adenine glycosylase [Treponema pallidum]	Treponema pallidum
WP_010882186	nicotinate (nicotinamide) nucleotide adenylyltransferase [Treponema pallidum]	Treponema pallidum
WP_014342576	NAD(+) synthase [Treponema pallidum]	Treponema pallidum
WP_014342426	NAD(+)/NADH kinase [Treponema pallidum]	Treponema pallidum
WP_010881553	NAD nucleotidase [Treponema pallidum]	Treponema pallidum
WP_010881934	adenylate/guanylate cyclase domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014505641	ATP-binding cassette domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010882454	nucleoside-diphosphate kinase [Treponema pallidum]	Treponema pallidum
WP_010882421	Nif3-like dinuclear metal center hexameric protein [Treponema pallidum]	Treponema pallidum
WP_010882382	pyruvate:ferredoxin (flavodoxin) oxidoreductase [Treponema pallidum]	Treponema pallidum
WP_010882307	cysteine desulfurase family protein [Treponema pallidum]	Treponema pallidum
WP_014342622	peptidoglycan DD-metalloendopeptidase family protein [Treponema pallidum]	Treponema pallidum
WP_014342546	M23 family metallopeptidase [Treponema pallidum]	Treponema pallidum
WP_010882435	MULTISPECIES: rubredoxin [Treponema]	Treponema
WP_010882364	H2O-forming NADH oxidase [Treponema pallidum]	Treponema pallidum
WP_010882452	ribonucleoside-diphosphate reductase subunit alpha [Treponema pallidum]	Treponema pallidum
WP_013944767	MULTISPECIES: ribonucleotide-diphosphate reductase subunit beta [Treponema]	Treponema
WP_010881544	tetratricopeptide repeat protein [Treponema pallidum]	Treponema pallidum
WP_013945087	DHH family phosphoesterase [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_010882220	endonuclease III [Treponema pallidum]	Treponema pallidum
WP_010881981	V0D/AC39 family V-type ATPase subunit [Treponema pallidum]	Treponema pallidum
