Genome	sub_species	strain	collection_date	geo_loc_name	host	host_disease	isolation_source	isolate	host_health_state	TPA_Lineage	Rank_1_Lineage	Rank_2_Lineage	Rank_3_Lineage	Rank_4_Lineage	Rank_5_Lineage	overall_Lineage	Status	Status.colour	ST	TP0136	TP0548	TP0705	TPASub	Canada
ERR3684555	NA	NA	2017	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	Failed	1	-	1	Failed	Global
ERR4853663	NA	NA	2015	Canada	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	13	6	3	1	SS14-like	Global
ERR5207032	NA	NA	2019	Other	Human	NA	NA	NA	NA	SS14	5	1	1	1	1	5-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
ERR4045387	NA	NA	2016	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	14	1	8	1	SS14-like	Global
GCA_034093335	pallidum	W043	2022	USA	Human	syphilis	patient sample	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
ERR4853641	NA	NA	2011	Canada	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
ERR4899228	NA	NA	2018	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	13	6	3	1*	SS14-like	Global
GCA_018206955	pallidum	Japan300	2019	Japan	Human	syphilis	swab	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
ERR4045390	NA	NA	2017	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	2	1	1	1	SS14-like	Global
ERR4853645	NA	NA	2014	Canada	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	13	6	3	1	SS14-like	Global
ERR4853666	NA	NA	2015	Canada	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	13	6	3*	1	SS14-like	Global
ERR4853551	NA	NA	2012	Canada	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
GCA_005341485	pallidum	CW87	2016	Other	Human	syphilis	bucal smear	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Reference	#000000	35	1	23	1	SS14-like	Global
ERR4853589	NA	NA	2018	Canada	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
GCA_027568715	pallidum	GSPAR0465GM	NA	Argentina	Human	syphilis	swab	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Reference	#000000	Unknown	6*	1*	1	Unknown	Global
ERR3684619	NA	NA	2015	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	13	6	3	1	SS14-like	Global
ERR3684519	NA	NA	2012	UK	Human	NA	NA	NA	NA	SS14	5	1	1	1	1	5-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
ERR3684610	NA	NA	2012	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	13	6*	3	1	SS14-like	Global
ERR3684613	NA	NA	2013	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
ERR5207010	NA	NA	2017	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	56	19	3	1	SS14-like	Global
GCA_015239375	pallidum	SMUTp_08	2018	China	Human	syphilis	Chancre	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Reference	#000000	2	1	1	1	SS14-like	Global
GCA_034096755	pallidum	SF722867	2017	USA	Human	syphilis	swab	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Reference	#000000	13	6*	3	1	SS14-like	Global
ERR3684572	NA	NA	2013	UK	Human	NA	NA	NA	NA	SS14	5	1	1	1	1	5-1-1-1-1	Reference	#000000	Failed	1	-	1	Failed	Global
GCA_027626175	pallidum	GSPAR042DCG	NA	Argentina	Human	syphilis	swab	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
ERR3684599	NA	NA	2017	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
ERR4899222	NA	NA	2009	Canada	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	Failed	-	56*	1	Failed	Global
ERR5206984	NA	NA	2019	Canada	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
GCA_018203655	pallidum	Peru214361x	2018	Peru	Human	syphilis	swab	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Reference	#000000	2	1	1	1	SS14-like	Global
ERR3684741	NA	NA	2012	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	Failed	39*	-	1	Failed	Global
ERR4853602	NA	NA	2018	UK	Human	NA	NA	NA	NA	SS14	9	1	1	1	1	9-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
GCA_027568615	pallidum	ARG62500H2	NA	Argentina	Human	syphilis	swab	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Reference	#000000	2	1	1	1	SS14-like	Global
ERR4853662	NA	NA	2015	Canada	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
GCA_034097275	pallidum	L068	2021	USA	Human	syphilis	patient sample	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Query	#ff0000	2	1	1*	1	SS14-like	Global
ERR3684622	NA	NA	2015	UK	Human	NA	NA	NA	NA	SS14	5	1	1	1	1	5-1-1-1-1	Reference	#000000	Failed	1	-	1	Failed	Global
ERR4045378	NA	NA	2017	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
GCA_018203015	pallidum	ItalyGE6	2017	Italy	Human	syphilis	swab	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Reference	#000000	2	1	1	1	SS14-like	Global
GCA_029958845	Unknown	P-21-20120	2021	USA	Human	unknown	throat	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Reference	#000000	2	1	1	1	SS14-like	Global
ERR3684540	NA	NA	2016	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	2	1	1	1	SS14-like	Global
ERR3684489	NA	NA	2015	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
ERR3684585	NA	NA	2016	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	2	1	1*	1	SS14-like	Global
ERR3684520	NA	NA	2012	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	64	1	47*?	1	SS14-like	Global
ERR3684482	NA	NA	2012	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
ERR3684544	NA	NA	2016	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
ERR3684526	NA	NA	2014	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
ERR3684723	NA	NA	2017	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	Unknown	6	9*	1	Unknown	Global
ERR3684460	NA	NA	2016	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	2	1	1	1	SS14-like	Global
ERR3684616	NA	NA	2015	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
ERR4853594	NA	NA	2015	Canada	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	Unknown	6	36*?	1	Unknown	Global
ERR3684654	NA	NA	2012	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	13	6	3*	1	SS14-like	Global
ERR3684665	NA	NA	2015	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
GCA_034097355	pallidum	I047	2021	USA	Human	syphilis	patient sample	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Query	#ff0000	1	1	3	1	SS14-like	Global
ERR3684661	NA	NA	2014	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	13	6	3	1	SS14-like	Global
GCA_001713075	pallidum	PT_SIF1140	2013	Portugal	Human	syphilis	Anal	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
GCA_025201115	pallidum	62388H3	NA	Argentina	Human	syphilis	swab	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Reference	#000000	2	1	1	1	SS14-like	Global
ERR3684706	NA	NA	2015	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	Unknown	6	1	1	Unknown	Global
ERR4853640	NA	NA	2005	Canada	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	Unknown	6	1	1	Unknown	Global
GCA_027626395	pallidum	GSPAR024TOM	NA	Argentina	Human	syphilis	swab	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Reference	#000000	Failed	6	-	1	Failed	Global
ERR4853677	NA	NA	2018	Canada	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
GCA_027568655	pallidum	ARG36502H1	NA	Argentina	Human	syphilis	swab	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Reference	#000000	Unknown	6	1	1	Unknown	Global
ERR3684451	NA	NA	2013	UK	Human	NA	NA	NA	NA	SS14	9	1	1	1	1	9-1-1-1-1	Reference	#000000	13	6	3*	1	SS14-like	Global
ERR5210582	NA	NA	2019	Other	Human	NA	NA	NA	NA	SS14	5	1	1	1	1	5-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
ERR3684669	NA	NA	2016	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	Unknown	18	3	1*	Unknown	Global
ERR3684499	NA	NA	2016	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
ERR3684626	NA	NA	2016	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	13	6	3	1	SS14-like	Global
GCA_018205215	pallidum	Japan314	2019	Japan	Human	syphilis	swab	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
GCA_034093455	pallidum	Q035	2022	USA	Human	syphilis	patient sample	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Query	#ff0000	Unknown	1	48	1	Unknown	Global
ERR4853555	NA	NA	2016	Canada	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
ERR3684565	NA	NA	2012	UK	Human	NA	NA	NA	NA	SS14	1	1	1	1	1	1-1-1-1-1	Reference	#000000	13	6	3?	1	SS14-like	Global
GCA_018199475	pallidum	Dublin54B	2002	Ireland	Human	syphilis	swab	NA	NA	NA	1	1	1	1	1	1-1-1-1-1	Reference	#000000	1	1	3	1	SS14-like	Global
